fuente,contenido,texto_limpio
Web,documentación para traslado a 5to secundaria. Postulante: Thiago.,documentacion para traslado a 5to secundaria postulante thiago
Email,"Estimados, quisiera saber los precios de secundaria para mi hijo Sofia.",estimados quisiera saber los precios de secundaria para mi hijo sofia
Email,"ESTIMADOS, QUISIERA SABER LOS PENSIONES DE 1ERO SECUNDARIA PARA MI HIJO LUCIA.",estimados quisiera saber los pensiones de 1ero secundaria para mi hijo lucia
Web,<p><b>cronograma de admision para 5to secundaria. Mi menor es Elena.</b></p>,cronograma de admision para 5to secundaria mi menor es elena
Web,REQUISITOS PARA TRASLADO A 1ERO SECUNDARIA. POSTULANTE: LUIS.,requisitos para traslado a 1ero secundaria postulante luis
Web,<p><b>entrevistas de admision para primer año. Mi menor es Ana.</b></p>,entrevistas de admision para primer ano mi menor es ana
Web,<p><b>papeles para traslado a inicial 5 años. Postulante: Maria.</b></p>,papeles para traslado a inicial 5 anos postulante maria
WhatsApp,Saber si hay cupos en 1ero primaria para Maria. Gracias.,saber si hay cupos en 1ero primaria para maria gracias
Email,Solicito información de costos y detalles para 1ero secundaria. Atte: Camila.,solicito informacion de costos y detalles para 1ero secundaria atte camila
Web,ficha de matrícula para traslado a 1ero primaria. Postulante: Lucia.,ficha de matricula para traslado a 1ero primaria postulante lucia
Email,Solicito información de cuotas y detalles para inicial 3 años. Atte: Sofia.,solicito informacion de cuotas y detalles para inicial 3 anos atte sofia
Web,CRONOGRAMA DE ADMISION PARA INICIAL 3 AÑOS. MI MENOR ES JUAN.,cronograma de admision para inicial 3 anos mi menor es juan
WhatsApp,Saber si hay disponibilidad de ingreso en inicial 5 años para Nicolas. Gracias.,saber si hay disponibilidad de ingreso en inicial 5 anos para nicolas gracias
Web,ficha de matrícula para traslado a 1ero primaria. Postulante: Pedro.,ficha de matricula para traslado a 1ero primaria postulante pedro
Email,"ESTIMADOS, QUISIERA SABER LOS PENSIONES DE INICIAL 5 AÑOS PARA MI HIJO NICOLAS.",estimados quisiera saber los pensiones de inicial 5 anos para mi hijo nicolas
Email,"<p><b>Estimados, quisiera saber los costos de 1ero secundaria para mi hijo Elena.</b></p>",estimados quisiera saber los costos de 1ero secundaria para mi hijo elena
Email,"Estimados, quisiera saber los cuotas de inicial 4 años para mi hijo Pedro.",estimados quisiera saber los cuotas de inicial 4 anos para mi hijo pedro
WhatsApp,Hola hay vacantes para inicial 4 años? Mi niño se llama Juan.,hola hay vacantes para inicial 4 anos mi nino se llama juan
WhatsApp,Hola hay disponibilidad de ingreso para inicial 5 años? Mi niño se llama Maria.,hola hay disponibilidad de ingreso para inicial 5 anos mi nino se llama maria
WhatsApp,Saber si hay lugares en inicial 3 años para Elena. Gracias.,saber si hay lugares en inicial 3 anos para elena gracias
Web,CRONOGRAMA DE ADMISION PARA INICIAL 4 AÑOS. MI MENOR ES THIAGO.,cronograma de admision para inicial 4 anos mi menor es thiago
Web,<p><b>cronograma de admision para 6to primaria. Mi menor es Ana.</b></p>,cronograma de admision para 6to primaria mi menor es ana
WhatsApp,Saber si hay vacantes en inicial 5 años para Juan. Gracias.,saber si hay vacantes en inicial 5 anos para juan gracias
Email,"Estimados, quisiera saber los pensiones de primer grado para mi hijo Elena.",estimados quisiera saber los pensiones de primer grado para mi hijo elena
Web,partidas para traslado a secundaria. Postulante: Lucia.,partidas para traslado a secundaria postulante lucia
Email,SOLICITO INFORMACIÓN DE PENSIONES Y DETALLES PARA INICIAL 5 AÑOS. ATTE: MATEO.,solicito informacion de pensiones y detalles para inicial 5 anos atte mateo
WhatsApp,SABER SI HAY DISPONIBILIDAD DE INGRESO EN INICIAL 4 AÑOS PARA LUCIA. GRACIAS.,saber si hay disponibilidad de ingreso en inicial 4 anos para lucia gracias
Email,SOLICITO INFORMACIÓN DE PRECIOS Y DETALLES PARA 1ERO PRIMARIA. ATTE: PEDRO.,solicito informacion de precios y detalles para 1ero primaria atte pedro
Email,Solicito información de cuotas y detalles para primer año. Atte: Valentina.,solicito informacion de cuotas y detalles para primer ano atte valentina
Web,papeles para traslado a inicial 4 años. Postulante: Maria.,papeles para traslado a inicial 4 anos postulante maria
Email,"Estimados, quisiera saber los pensiones de 1ero secundaria para mi hijo Elena.",estimados quisiera saber los pensiones de 1ero secundaria para mi hijo elena
WhatsApp,Saber si hay cupos en primer grado para Sofia. Gracias.,saber si hay cupos en primer grado para sofia gracias
WhatsApp,<p><b>Saber si hay cupos en 5to secundaria para Ana. Gracias.</b></p>,saber si hay cupos en 5to secundaria para ana gracias
Email,"Estimados, quisiera saber los mensualidad de secundaria para mi hijo Maria.",estimados quisiera saber los mensualidad de secundaria para mi hijo maria
WhatsApp,SABER SI HAY ESPACIOS EN PRIMER GRADO PARA MARIA. GRACIAS.,saber si hay espacios en primer grado para maria gracias
Web,documentación para traslado a primer grado. Postulante: Gabriel.,documentacion para traslado a primer grado postulante gabriel
WhatsApp,Hola hay lugares para 1ero secundaria? Mi niño se llama Luis.,hola hay lugares para 1ero secundaria mi nino se llama luis
Email,"Estimados, quisiera saber los costos de primer grado para mi hijo Valentina.",estimados quisiera saber los costos de primer grado para mi hijo valentina
Email,"<p><b>Estimados, quisiera saber los costos de 5to secundaria para mi hijo Ana.</b></p>",estimados quisiera saber los costos de 5to secundaria para mi hijo ana
Web,requisitos para traslado a secundaria. Postulante: Thiago.,requisitos para traslado a secundaria postulante thiago
Web,<p><b>entrevistas de admision para 5to secundaria. Mi menor es Valentina.</b></p>,entrevistas de admision para 5to secundaria mi menor es valentina
Email,Solicito información de mensualidad y detalles para primer grado. Atte: Lucia.,solicito informacion de mensualidad y detalles para primer grado atte lucia
WhatsApp,Saber si hay disponibilidad de ingreso en primer grado para Elena. Gracias.,saber si hay disponibilidad de ingreso en primer grado para elena gracias
Email,"ESTIMADOS, QUISIERA SABER LOS COSTOS DE PRIMER GRADO PARA MI HIJO CAMILA.",estimados quisiera saber los costos de primer grado para mi hijo camila
WhatsApp,HOLA HAY LUGARES PARA 1ERO SECUNDARIA? MI NIÑO SE LLAMA ANA.,hola hay lugares para 1ero secundaria mi nino se llama ana
Web,ficha de matrícula para traslado a 1ero secundaria. Postulante: Elena.,ficha de matricula para traslado a 1ero secundaria postulante elena
WhatsApp,Hola hay disponibilidad de ingreso para 1ero secundaria? Mi niño se llama Sofia.,hola hay disponibilidad de ingreso para 1ero secundaria mi nino se llama sofia
WhatsApp,<p><b>Hola hay lugares para primer grado? Mi niño se llama Valentina.</b></p>,hola hay lugares para primer grado mi nino se llama valentina
Email,SOLICITO INFORMACIÓN DE PRECIOS Y DETALLES PARA 1ERO PRIMARIA. ATTE: ANA.,solicito informacion de precios y detalles para 1ero primaria atte ana
Web,requisitos para traslado a inicial 4 años. Postulante: Valentina.,requisitos para traslado a inicial 4 anos postulante valentina
Web,entrevistas de admision para 1ero primaria. Mi menor es Ana.,entrevistas de admision para 1ero primaria mi menor es ana
Email,"Estimados, quisiera saber los cuotas de inicial 5 años para mi hijo Juan.",estimados quisiera saber los cuotas de inicial 5 anos para mi hijo juan
Web,<p><b>entrevistas de admision para inicial 4 años. Mi menor es Nicolas.</b></p>,entrevistas de admision para inicial 4 anos mi menor es nicolas
Email,"Estimados, quisiera saber los pensiones de secundaria para mi hijo Lucia.",estimados quisiera saber los pensiones de secundaria para mi hijo lucia
WhatsApp,SABER SI HAY CUPOS EN 1ERO SECUNDARIA PARA MARIA. GRACIAS.,saber si hay cupos en 1ero secundaria para maria gracias
Web,reunión de admision para 6to primaria. Mi menor es Gabriel.,reunion de admision para 6to primaria mi menor es gabriel
Email,Solicito información de mensualidad y detalles para secundaria. Atte: Valentina.,solicito informacion de mensualidad y detalles para secundaria atte valentina
Email,<p><b>Solicito información de pensiones y detalles para 6to primaria. Atte: Valentina.</b></p>,solicito informacion de pensiones y detalles para 6to primaria atte valentina
WhatsApp,<p><b>Hola hay espacios para inicial 4 años? Mi niño se llama Camila.</b></p>,hola hay espacios para inicial 4 anos mi nino se llama camila
Email,"Estimados, quisiera saber los mensualidad de secundaria para mi hijo Valentina.",estimados quisiera saber los mensualidad de secundaria para mi hijo valentina
WhatsApp,Saber si hay espacios en inicial 3 años para Gabriel. Gracias.,saber si hay espacios en inicial 3 anos para gabriel gracias
Email,"Estimados, quisiera saber los pensiones de 1ero secundaria para mi hijo Nicolas.",estimados quisiera saber los pensiones de 1ero secundaria para mi hijo nicolas
Web,documentación para traslado a inicial 3 años. Postulante: Valentina.,documentacion para traslado a inicial 3 anos postulante valentina
Web,<p><b>requisitos para traslado a primer año. Postulante: Lucia.</b></p>,requisitos para traslado a primer ano postulante lucia
Email,<p><b>Solicito información de cuotas y detalles para 1ero secundaria. Atte: Lucia.</b></p>,solicito informacion de cuotas y detalles para 1ero secundaria atte lucia
WhatsApp,Hola hay espacios para primer año? Mi niño se llama Valentina.,hola hay espacios para primer ano mi nino se llama valentina
Web,documentos para traslado a inicial 5 años. Postulante: Juan.,documentos para traslado a inicial 5 anos postulante juan
Email,<p><b>Solicito información de cuotas y detalles para inicial 5 años. Atte: Gabriel.</b></p>,solicito informacion de cuotas y detalles para inicial 5 anos atte gabriel
Email,<p><b>Solicito información de pagos y detalles para 5to secundaria. Atte: Maria.</b></p>,solicito informacion de pagos y detalles para 5to secundaria atte maria
WhatsApp,Saber si hay vacantes en 1ero primaria para Mateo. Gracias.,saber si hay vacantes en 1ero primaria para mateo gracias
Web,CHARLAS DE ADMISION PARA 5TO SECUNDARIA. MI MENOR ES VALENTINA.,charlas de admision para 5to secundaria mi menor es valentina
WhatsApp,<p><b>Saber si hay disponibilidad de ingreso en primer año para Ana. Gracias.</b></p>,saber si hay disponibilidad de ingreso en primer ano para ana gracias
WhatsApp,<p><b>Saber si hay espacios en 1ero secundaria para Pedro. Gracias.</b></p>,saber si hay espacios en 1ero secundaria para pedro gracias
WhatsApp,Saber si hay cupos en primer grado para Mateo. Gracias.,saber si hay cupos en primer grado para mateo gracias
WhatsApp,Saber si hay vacantes en 6to primaria para Nicolas. Gracias.,saber si hay vacantes en 6to primaria para nicolas gracias
Email,"Estimados, quisiera saber los pagos de 1ero secundaria para mi hijo Juan.",estimados quisiera saber los pagos de 1ero secundaria para mi hijo juan
Web,<p><b>requisitos para traslado a inicial 3 años. Postulante: Elena.</b></p>,requisitos para traslado a inicial 3 anos postulante elena
Web,partidas para traslado a 6to primaria. Postulante: Valentina.,partidas para traslado a 6to primaria postulante valentina
WhatsApp,Hola hay disponibilidad de ingreso para primer grado? Mi niño se llama Juan.,hola hay disponibilidad de ingreso para primer grado mi nino se llama juan
Web,CRONOGRAMA DE ADMISION PARA PRIMER GRADO. MI MENOR ES JUAN.,cronograma de admision para primer grado mi menor es juan
Email,Solicito información de pagos y detalles para 1ero secundaria. Atte: Thiago.,solicito informacion de pagos y detalles para 1ero secundaria atte thiago
Web,<p><b>reunión de admision para 5to secundaria. Mi menor es Juan.</b></p>,reunion de admision para 5to secundaria mi menor es juan
Web,documentación para traslado a primer año. Postulante: Sofia.,documentacion para traslado a primer ano postulante sofia
Web,charlas de admision para inicial 3 años. Mi menor es Nicolas.,charlas de admision para inicial 3 anos mi menor es nicolas
WhatsApp,Hola hay lugares para inicial 3 años? Mi niño se llama Elena.,hola hay lugares para inicial 3 anos mi nino se llama elena
Email,"Estimados, quisiera saber los pensiones de 6to primaria para mi hijo Juan.",estimados quisiera saber los pensiones de 6to primaria para mi hijo juan
WhatsApp,Saber si hay lugares en inicial 4 años para Maria. Gracias.,saber si hay lugares en inicial 4 anos para maria gracias
WhatsApp,Saber si hay disponibilidad de ingreso en 1ero secundaria para Luis. Gracias.,saber si hay disponibilidad de ingreso en 1ero secundaria para luis gracias
WhatsApp,Saber si hay cupos en 5to secundaria para Camila. Gracias.,saber si hay cupos en 5to secundaria para camila gracias
Email,"<p><b>Estimados, quisiera saber los costos de inicial 3 años para mi hijo Ana.</b></p>",estimados quisiera saber los costos de inicial 3 anos para mi hijo ana
Web,entrevistas de admision para primer grado. Mi menor es Thiago.,entrevistas de admision para primer grado mi menor es thiago
Email,Solicito información de mensualidad y detalles para primer año. Atte: Pedro.,solicito informacion de mensualidad y detalles para primer ano atte pedro
Web,<p><b>reunión de admision para secundaria. Mi menor es Sebastian.</b></p>,reunion de admision para secundaria mi menor es sebastian
Email,Solicito información de costos y detalles para 6to primaria. Atte: Ana.,solicito informacion de costos y detalles para 6to primaria atte ana
Web,citas de admision para inicial 5 años. Mi menor es Gabriel.,citas de admision para inicial 5 anos mi menor es gabriel
WhatsApp,Hola hay cupos para primer grado? Mi niño se llama Elena.,hola hay cupos para primer grado mi nino se llama elena
Web,ENTREVISTAS DE ADMISION PARA PRIMER GRADO. MI MENOR ES CAMILA.,entrevistas de admision para primer grado mi menor es camila
Web,REUNIÓN DE ADMISION PARA INICIAL 3 AÑOS. MI MENOR ES SOFIA.,reunion de admision para inicial 3 anos mi menor es sofia
Web,documentos para traslado a primer año. Postulante: Maria.,documentos para traslado a primer ano postulante maria
WhatsApp,<p><b>Hola hay cupos para 5to secundaria? Mi niño se llama Lucia.</b></p>,hola hay cupos para 5to secundaria mi nino se llama lucia
Web,ficha de matrícula para traslado a primer grado. Postulante: Sofia.,ficha de matricula para traslado a primer grado postulante sofia
Email,"Estimados, quisiera saber los mensualidad de inicial 5 años para mi hijo Elena.",estimados quisiera saber los mensualidad de inicial 5 anos para mi hijo elena
Email,"<p><b>Estimados, quisiera saber los pensiones de primer grado para mi hijo Juan.</b></p>",estimados quisiera saber los pensiones de primer grado para mi hijo juan
WhatsApp,SABER SI HAY CUPOS EN SECUNDARIA PARA MATEO. GRACIAS.,saber si hay cupos en secundaria para mateo gracias
Web,charlas de admision para 1ero primaria. Mi menor es Sofia.,charlas de admision para 1ero primaria mi menor es sofia
WhatsApp,<p><b>Saber si hay vacantes en inicial 5 años para Nicolas. Gracias.</b></p>,saber si hay vacantes en inicial 5 anos para nicolas gracias
WhatsApp,Hola hay cupos para secundaria? Mi niño se llama Pedro.,hola hay cupos para secundaria mi nino se llama pedro
Web,<p><b>documentos para traslado a inicial 4 años. Postulante: Sofia.</b></p>,documentos para traslado a inicial 4 anos postulante sofia
Web,citas de admision para 1ero primaria. Mi menor es Sebastian.,citas de admision para 1ero primaria mi menor es sebastian
Web,documentación para traslado a primer grado. Postulante: Luis.,documentacion para traslado a primer grado postulante luis
Email,Solicito información de cuotas y detalles para secundaria. Atte: Camila.,solicito informacion de cuotas y detalles para secundaria atte camila
WhatsApp,Saber si hay lugares en primer grado para Lucia. Gracias.,saber si hay lugares en primer grado para lucia gracias
Web,documentos para traslado a secundaria. Postulante: Gabriel.,documentos para traslado a secundaria postulante gabriel
Email,"Estimados, quisiera saber los pagos de inicial 3 años para mi hijo Ana.",estimados quisiera saber los pagos de inicial 3 anos para mi hijo ana
WhatsApp,Hola hay espacios para inicial 4 años? Mi niño se llama Lucia.,hola hay espacios para inicial 4 anos mi nino se llama lucia
Email,"Estimados, quisiera saber los precios de primer grado para mi hijo Luis.",estimados quisiera saber los precios de primer grado para mi hijo luis
WhatsApp,Saber si hay cupos en inicial 5 años para Ana. Gracias.,saber si hay cupos en inicial 5 anos para ana gracias
WhatsApp,Hola hay cupos para primer grado? Mi niño se llama Lucia.,hola hay cupos para primer grado mi nino se llama lucia
Email,Solicito información de cuotas y detalles para primer año. Atte: Sebastian.,solicito informacion de cuotas y detalles para primer ano atte sebastian
WhatsApp,<p><b>Hola hay cupos para 1ero primaria? Mi niño se llama Sofia.</b></p>,hola hay cupos para 1ero primaria mi nino se llama sofia
Email,<p><b>Solicito información de pagos y detalles para inicial 5 años. Atte: Elena.</b></p>,solicito informacion de pagos y detalles para inicial 5 anos atte elena
Web,<p><b>papeles para traslado a primer año. Postulante: Camila.</b></p>,papeles para traslado a primer ano postulante camila
Web,reunión de admision para inicial 5 años. Mi menor es Valentina.,reunion de admision para inicial 5 anos mi menor es valentina
Web,charlas de admision para inicial 5 años. Mi menor es Mateo.,charlas de admision para inicial 5 anos mi menor es mateo
Email,"Estimados, quisiera saber los costos de primer año para mi hijo Camila.",estimados quisiera saber los costos de primer ano para mi hijo camila
WhatsApp,Hola hay espacios para primer año? Mi niño se llama Maria.,hola hay espacios para primer ano mi nino se llama maria
Email,Solicito información de pensiones y detalles para 1ero secundaria. Atte: Gabriel.,solicito informacion de pensiones y detalles para 1ero secundaria atte gabriel
Email,<p><b>Solicito información de precios y detalles para inicial 4 años. Atte: Maria.</b></p>,solicito informacion de precios y detalles para inicial 4 anos atte maria
WhatsApp,Hola hay disponibilidad de ingreso para 1ero secundaria? Mi niño se llama Ana.,hola hay disponibilidad de ingreso para 1ero secundaria mi nino se llama ana
WhatsApp,Hola hay lugares para 5to secundaria? Mi niño se llama Valentina.,hola hay lugares para 5to secundaria mi nino se llama valentina
WhatsApp,Hola hay disponibilidad de ingreso para primer año? Mi niño se llama Pedro.,hola hay disponibilidad de ingreso para primer ano mi nino se llama pedro
Email,"ESTIMADOS, QUISIERA SABER LOS PAGOS DE 1ERO SECUNDARIA PARA MI HIJO MATEO.",estimados quisiera saber los pagos de 1ero secundaria para mi hijo mateo
WhatsApp,Hola hay lugares para inicial 4 años? Mi niño se llama Ana.,hola hay lugares para inicial 4 anos mi nino se llama ana
Email,<p><b>Solicito información de mensualidad y detalles para 6to primaria. Atte: Elena.</b></p>,solicito informacion de mensualidad y detalles para 6to primaria atte elena
Email,"<p><b>Estimados, quisiera saber los precios de 1ero secundaria para mi hijo Pedro.</b></p>",estimados quisiera saber los precios de 1ero secundaria para mi hijo pedro
WhatsApp,Saber si hay espacios en 1ero secundaria para Luis. Gracias.,saber si hay espacios en 1ero secundaria para luis gracias
Email,"ESTIMADOS, QUISIERA SABER LOS CUOTAS DE PRIMER GRADO PARA MI HIJO LUCIA.",estimados quisiera saber los cuotas de primer grado para mi hijo lucia
Email,"<p><b>Estimados, quisiera saber los cuotas de secundaria para mi hijo Sofia.</b></p>",estimados quisiera saber los cuotas de secundaria para mi hijo sofia
Email,Solicito información de precios y detalles para primer grado. Atte: Thiago.,solicito informacion de precios y detalles para primer grado atte thiago
WhatsApp,Saber si hay lugares en primer grado para Juan. Gracias.,saber si hay lugares en primer grado para juan gracias
Web,<p><b>citas de admision para primer año. Mi menor es Camila.</b></p>,citas de admision para primer ano mi menor es camila
Email,"Estimados, quisiera saber los mensualidad de inicial 5 años para mi hijo Lucia.",estimados quisiera saber los mensualidad de inicial 5 anos para mi hijo lucia
Web,<p><b>documentación para traslado a primer grado. Postulante: Lucia.</b></p>,documentacion para traslado a primer grado postulante lucia
Email,Solicito información de pensiones y detalles para inicial 4 años. Atte: Lucia.,solicito informacion de pensiones y detalles para inicial 4 anos atte lucia
WhatsApp,<p><b>Saber si hay lugares en inicial 4 años para Mateo. Gracias.</b></p>,saber si hay lugares en inicial 4 anos para mateo gracias
Web,charlas de admision para 1ero secundaria. Mi menor es Pedro.,charlas de admision para 1ero secundaria mi menor es pedro
Web,charlas de admision para primer grado. Mi menor es Ana.,charlas de admision para primer grado mi menor es ana
Email,SOLICITO INFORMACIÓN DE COSTOS Y DETALLES PARA 1ERO SECUNDARIA. ATTE: LUCIA.,solicito informacion de costos y detalles para 1ero secundaria atte lucia
Web,documentación para traslado a 1ero primaria. Postulante: Juan.,documentacion para traslado a 1ero primaria postulante juan
Web,<p><b>citas de admision para primer año. Mi menor es Pedro.</b></p>,citas de admision para primer ano mi menor es pedro
WhatsApp,Hola hay espacios para primer año? Mi niño se llama Elena.,hola hay espacios para primer ano mi nino se llama elena
Web,documentos para traslado a secundaria. Postulante: Sofia.,documentos para traslado a secundaria postulante sofia
WhatsApp,<p><b>Saber si hay lugares en 6to primaria para Juan. Gracias.</b></p>,saber si hay lugares en 6to primaria para juan gracias
Web,entrevistas de admision para 1ero primaria. Mi menor es Valentina.,entrevistas de admision para 1ero primaria mi menor es valentina
WhatsApp,<p><b>Saber si hay espacios en 1ero secundaria para Camila. Gracias.</b></p>,saber si hay espacios en 1ero secundaria para camila gracias
Web,FICHA DE MATRÍCULA PARA TRASLADO A 1ERO SECUNDARIA. POSTULANTE: GABRIEL.,ficha de matricula para traslado a 1ero secundaria postulante gabriel
WhatsApp,<p><b>Hola hay vacantes para inicial 5 años? Mi niño se llama Valentina.</b></p>,hola hay vacantes para inicial 5 anos mi nino se llama valentina
Email,"Estimados, quisiera saber los precios de 5to secundaria para mi hijo Mateo.",estimados quisiera saber los precios de 5to secundaria para mi hijo mateo
Web,<p><b>citas de admision para inicial 4 años. Mi menor es Pedro.</b></p>,citas de admision para inicial 4 anos mi menor es pedro
WhatsApp,<p><b>Hola hay disponibilidad de ingreso para inicial 3 años? Mi niño se llama Sebastian.</b></p>,hola hay disponibilidad de ingreso para inicial 3 anos mi nino se llama sebastian
Email,Solicito información de pagos y detalles para inicial 3 años. Atte: Luis.,solicito informacion de pagos y detalles para inicial 3 anos atte luis
Email,SOLICITO INFORMACIÓN DE MENSUALIDAD Y DETALLES PARA PRIMER AÑO. ATTE: GABRIEL.,solicito informacion de mensualidad y detalles para primer ano atte gabriel
Email,"<p><b>Estimados, quisiera saber los mensualidad de 1ero secundaria para mi hijo Luis.</b></p>",estimados quisiera saber los mensualidad de 1ero secundaria para mi hijo luis
Email,"ESTIMADOS, QUISIERA SABER LOS PAGOS DE 5TO SECUNDARIA PARA MI HIJO GABRIEL.",estimados quisiera saber los pagos de 5to secundaria para mi hijo gabriel
WhatsApp,Saber si hay disponibilidad de ingreso en 1ero primaria para Luis. Gracias.,saber si hay disponibilidad de ingreso en 1ero primaria para luis gracias
Email,"Estimados, quisiera saber los pensiones de inicial 4 años para mi hijo Valentina.",estimados quisiera saber los pensiones de inicial 4 anos para mi hijo valentina
Web,PAPELES PARA TRASLADO A 1ERO PRIMARIA. POSTULANTE: SEBASTIAN.,papeles para traslado a 1ero primaria postulante sebastian
Web,reunión de admision para inicial 5 años. Mi menor es Ana.,reunion de admision para inicial 5 anos mi menor es ana
Email,Solicito información de pensiones y detalles para 1ero secundaria. Atte: Juan.,solicito informacion de pensiones y detalles para 1ero secundaria atte juan
Web,<p><b>citas de admision para primer grado. Mi menor es Luis.</b></p>,citas de admision para primer grado mi menor es luis
WhatsApp,<p><b>Hola hay disponibilidad de ingreso para inicial 5 años? Mi niño se llama Gabriel.</b></p>,hola hay disponibilidad de ingreso para inicial 5 anos mi nino se llama gabriel
Email,"<p><b>Estimados, quisiera saber los precios de 5to secundaria para mi hijo Gabriel.</b></p>",estimados quisiera saber los precios de 5to secundaria para mi hijo gabriel
Web,reunión de admision para 1ero primaria. Mi menor es Thiago.,reunion de admision para 1ero primaria mi menor es thiago
Web,papeles para traslado a 1ero primaria. Postulante: Luis.,papeles para traslado a 1ero primaria postulante luis
Web,papeles para traslado a primer grado. Postulante: Juan.,papeles para traslado a primer grado postulante juan
Web,entrevistas de admision para inicial 5 años. Mi menor es Lucia.,entrevistas de admision para inicial 5 anos mi menor es lucia
Email,"Estimados, quisiera saber los pagos de secundaria para mi hijo Gabriel.",estimados quisiera saber los pagos de secundaria para mi hijo gabriel
Web,cronograma de admision para 1ero secundaria. Mi menor es Thiago.,cronograma de admision para 1ero secundaria mi menor es thiago
WhatsApp,Hola hay vacantes para secundaria? Mi niño se llama Camila.,hola hay vacantes para secundaria mi nino se llama camila
Email,Solicito información de pensiones y detalles para primer año. Atte: Ana.,solicito informacion de pensiones y detalles para primer ano atte ana
Web,citas de admision para inicial 3 años. Mi menor es Lucia.,citas de admision para inicial 3 anos mi menor es lucia
WhatsApp,Saber si hay espacios en inicial 4 años para Valentina. Gracias.,saber si hay espacios en inicial 4 anos para valentina gracias
Email,Solicito información de mensualidad y detalles para 5to secundaria. Atte: Ana.,solicito informacion de mensualidad y detalles para 5to secundaria atte ana
WhatsApp,SABER SI HAY LUGARES EN PRIMER GRADO PARA ANA. GRACIAS.,saber si hay lugares en primer grado para ana gracias
WhatsApp,<p><b>Hola hay vacantes para primer grado? Mi niño se llama Sofia.</b></p>,hola hay vacantes para primer grado mi nino se llama sofia
Email,Solicito información de precios y detalles para 5to secundaria. Atte: Camila.,solicito informacion de precios y detalles para 5to secundaria atte camila
WhatsApp,Hola hay espacios para secundaria? Mi niño se llama Gabriel.,hola hay espacios para secundaria mi nino se llama gabriel
Web,<p><b>documentación para traslado a inicial 3 años. Postulante: Camila.</b></p>,documentacion para traslado a inicial 3 anos postulante camila
WhatsApp,Saber si hay lugares en 1ero primaria para Mateo. Gracias.,saber si hay lugares en 1ero primaria para mateo gracias
Email,"Estimados, quisiera saber los mensualidad de secundaria para mi hijo Lucia.",estimados quisiera saber los mensualidad de secundaria para mi hijo lucia
WhatsApp,Saber si hay disponibilidad de ingreso en primer grado para Juan. Gracias.,saber si hay disponibilidad de ingreso en primer grado para juan gracias
WhatsApp,Hola hay espacios para inicial 5 años? Mi niño se llama Maria.,hola hay espacios para inicial 5 anos mi nino se llama maria
WhatsApp,Hola hay disponibilidad de ingreso para 5to secundaria? Mi niño se llama Lucia.,hola hay disponibilidad de ingreso para 5to secundaria mi nino se llama lucia
Web,papeles para traslado a 1ero secundaria. Postulante: Mateo.,papeles para traslado a 1ero secundaria postulante mateo
Web,DOCUMENTACIÓN PARA TRASLADO A PRIMER GRADO. POSTULANTE: JUAN.,documentacion para traslado a primer grado postulante juan
WhatsApp,<p><b>Saber si hay cupos en secundaria para Ana. Gracias.</b></p>,saber si hay cupos en secundaria para ana gracias
Web,charlas de admision para inicial 4 años. Mi menor es Ana.,charlas de admision para inicial 4 anos mi menor es ana
Web,reunión de admision para inicial 3 años. Mi menor es Elena.,reunion de admision para inicial 3 anos mi menor es elena
Web,<p><b>cronograma de admision para primer año. Mi menor es Thiago.</b></p>,cronograma de admision para primer ano mi menor es thiago
Web,<p><b>documentación para traslado a inicial 3 años. Postulante: Lucia.</b></p>,documentacion para traslado a inicial 3 anos postulante lucia
WhatsApp,Hola hay disponibilidad de ingreso para secundaria? Mi niño se llama Pedro.,hola hay disponibilidad de ingreso para secundaria mi nino se llama pedro
WhatsApp,Hola hay lugares para 5to secundaria? Mi niño se llama Juan.,hola hay lugares para 5to secundaria mi nino se llama juan
Email,SOLICITO INFORMACIÓN DE PAGOS Y DETALLES PARA INICIAL 3 AÑOS. ATTE: ANA.,solicito informacion de pagos y detalles para inicial 3 anos atte ana
WhatsApp,Saber si hay espacios en primer año para Sofia. Gracias.,saber si hay espacios en primer ano para sofia gracias
WhatsApp,<p><b>Hola hay vacantes para 6to primaria? Mi niño se llama Thiago.</b></p>,hola hay vacantes para 6to primaria mi nino se llama thiago
WhatsApp,Hola hay cupos para 5to secundaria? Mi niño se llama Nicolas.,hola hay cupos para 5to secundaria mi nino se llama nicolas
WhatsApp,HOLA HAY VACANTES PARA 1ERO PRIMARIA? MI NIÑO SE LLAMA MARIA.,hola hay vacantes para 1ero primaria mi nino se llama maria
Web,cronograma de admision para 6to primaria. Mi menor es Maria.,cronograma de admision para 6to primaria mi menor es maria
WhatsApp,<p><b>Saber si hay cupos en 1ero secundaria para Nicolas. Gracias.</b></p>,saber si hay cupos en 1ero secundaria para nicolas gracias
WhatsApp,<p><b>Hola hay disponibilidad de ingreso para primer grado? Mi niño se llama Sofia.</b></p>,hola hay disponibilidad de ingreso para primer grado mi nino se llama sofia
WhatsApp,Hola hay cupos para primer año? Mi niño se llama Pedro.,hola hay cupos para primer ano mi nino se llama pedro
Email,"Estimados, quisiera saber los mensualidad de inicial 4 años para mi hijo Nicolas.",estimados quisiera saber los mensualidad de inicial 4 anos para mi hijo nicolas
Email,Solicito información de pagos y detalles para primer grado. Atte: Nicolas.,solicito informacion de pagos y detalles para primer grado atte nicolas
