fuente,contenido,texto_limpio,label_sugerida,texto_preprocesado
Email,"Estimados, quisiera saber los pagos de inicial 3 años para mi hijo Valentina.",estimados quisiera saber los pagos de inicial 3 años para mi hijo valentina,ADMIS_COSTOS,estimado querer pago inicial año hijo valentín
Web,entrevistas de admision para inicial 4 años. Mi menor es Thiago.,entrevistas de admision para inicial 4 años mi menor es thiago,ADMIS_CITAS,entrevista admision inicial año menor thiago
WhatsApp,Saber si hay espacios en 1ero primaria para Pedro. Gracias.,saber si hay espacios en 1ero primaria para pedro gracias,ADMIS_VACANTES,espacio 1ero primario pedro gracias
Email,"ESTIMADOS, QUISIERA SABER LOS CUOTAS DE INICIAL 3 AÑOS PARA MI HIJO PEDRO.",estimados quisiera saber los cuotas de inicial 3 años para mi hijo pedro,ADMIS_COSTOS,estimado querer cuota inicial año hijo pedro
Email,"Estimados, quisiera saber los mensualidad de 1ero secundaria para mi hijo Elena.",estimados quisiera saber los mensualidad de 1ero secundaria para mi hijo elena,ADMIS_COSTOS,estimado querer mensualidad 1ero secundario hijo elena
WhatsApp,HOLA HAY ESPACIOS PARA INICIAL 3 AÑOS? MI NIÑO SE LLAMA ELENA.,hola hay espacios para inicial 3 años mi niño se llama elena,ADMIS_VACANTES,holar espacio inicial año niño llamar elena
WhatsApp,Saber si hay vacantes en primer año para Maria. Gracias.,saber si hay vacantes en primer año para maria gracias,ADMIS_VACANTES,vacante año maria gracias
Email,Solicito información de pagos y detalles para inicial 5 años. Atte: Lucia.,solicito información de pagos y detalles para inicial 5 años atte lucia,ADMIS_COSTOS,solicitar información pago detalle inicial año attir lucia
Email,Solicito información de pensiones y detalles para 1ero primaria. Atte: Pedro.,solicito información de pensiones y detalles para 1ero primaria atte pedro,ADMIS_COSTOS,solicitar información pensión detalle 1ero primario atte pedro
WhatsApp,Hola hay disponibilidad de ingreso para 1ero primaria? Mi niño se llama Gabriel.,hola hay disponibilidad de ingreso para 1ero primaria mi niño se llama gabriel,ADMIS_VACANTES,holar disponibilidad ingreso 1ero primario niño llamar gabriel
Web,cronograma de admision para 5to secundaria. Mi menor es Lucia.,cronograma de admision para 5to secundaria mi menor es lucia,ADMIS_CITAS,cronograma admision 5to secundario menor lucia
Web,ficha de matrícula para traslado a 6to primaria. Postulante: Sofia.,ficha de matrícula para traslado a 6to primaria postulante sofia,ADMIS_REQUIS_DOC,ficha matrícula traslado 6to primaria postulante sofia
Web,<p><b>documentación para traslado a 6to primaria. Postulante: Sofia.</b></p>,documentación para traslado a 6to primaria postulante sofia,ADMIS_REQUIS_DOC,documentación traslado 6to primaria postulante sofia
WhatsApp,Hola hay cupos para 6to primaria? Mi niño se llama Sofia.,hola hay cupos para 6to primaria mi niño se llama sofia,ADMIS_VACANTES,holar cupo 6to primaria niño llamar sofia
Web,CITAS DE ADMISION PARA 1ERO PRIMARIA. MI MENOR ES MATEO.,citas de admision para 1ero primaria mi menor es mateo,ADMIS_CITAS,cita admision 1ero primario menor mateo
Email,"<p><b>Estimados, quisiera saber los cuotas de 1ero primaria para mi hijo Camila.</b></p>",estimados quisiera saber los cuotas de 1ero primaria para mi hijo camila,ADMIS_COSTOS,estimado querer cuota 1ero primario hijo camilar
WhatsApp,Saber si hay lugares en 5to secundaria para Lucia. Gracias.,saber si hay lugares en 5to secundaria para lucia gracias,ADMIS_VACANTES,lugar 5to secundario lucia gracias
Web,PARTIDAS PARA TRASLADO A 6TO PRIMARIA. POSTULANTE: NICOLAS.,partidas para traslado a 6to primaria postulante nicolas,ADMIS_REQUIS_DOC,partida traslado 6to primaria postulante nicola
WhatsApp,Hola hay vacantes para secundaria? Mi niño se llama Thiago.,hola hay vacantes para secundaria mi niño se llama thiago,ADMIS_VACANTES,holar vacante secundario niño llamar thiago
Email,"<p><b>Estimados, quisiera saber los mensualidad de inicial 5 años para mi hijo Camila.</b></p>",estimados quisiera saber los mensualidad de inicial 5 años para mi hijo camila,ADMIS_COSTOS,estimado querer mensualidad inicial año hijo camilar
Email,"Estimados, quisiera saber los precios de secundaria para mi hijo Lucia.",estimados quisiera saber los precios de secundaria para mi hijo lucia,ADMIS_COSTOS,estimado querer precio secundaria hijo lucia
WhatsApp,<p><b>Hola hay cupos para primer grado? Mi niño se llama Elena.</b></p>,hola hay cupos para primer grado mi niño se llama elena,ADMIS_VACANTES,holar cupo grado niño llamar elena
Email,SOLICITO INFORMACIÓN DE PRECIOS Y DETALLES PARA INICIAL 5 AÑOS. ATTE: JUAN.,solicito información de precios y detalles para inicial 5 años atte juan,ADMIS_COSTOS,solicitar información precio detalle inicial año atte juan
Email,"ESTIMADOS, QUISIERA SABER LOS PENSIONES DE INICIAL 5 AÑOS PARA MI HIJO ELENA.",estimados quisiera saber los pensiones de inicial 5 años para mi hijo elena,ADMIS_COSTOS,estimado querer pensión inicial año hijo elena
WhatsApp,SABER SI HAY DISPONIBILIDAD DE INGRESO EN INICIAL 5 AÑOS PARA NICOLAS. GRACIAS.,saber si hay disponibilidad de ingreso en inicial 5 años para nicolas gracias,ADMIS_VACANTES,disponibilidad ingreso inicial año nico él gracia
WhatsApp,Saber si hay espacios en primer grado para Pedro. Gracias.,saber si hay espacios en primer grado para pedro gracias,ADMIS_VACANTES,espacio grado pedro gracias
Web,CITAS DE ADMISION PARA INICIAL 4 AÑOS. MI MENOR ES GABRIEL.,citas de admision para inicial 4 años mi menor es gabriel,ADMIS_CITAS,cita admision inicial año menor gabriel
Web,FICHA DE MATRÍCULA PARA TRASLADO A 6TO PRIMARIA. POSTULANTE: SEBASTIAN.,ficha de matrícula para traslado a 6to primaria postulante sebastian,ADMIS_REQUIS_DOC,ficha matrícula traslado 6to primaria postulante sebastiar
WhatsApp,Hola hay espacios para secundaria? Mi niño se llama Mateo.,hola hay espacios para secundaria mi niño se llama mateo,ADMIS_VACANTES,holar espacio secundario niño llamar mateo
WhatsApp,Saber si hay cupos en inicial 3 años para Maria. Gracias.,saber si hay cupos en inicial 3 años para maria gracias,ADMIS_VACANTES,cupo inicial año maria gracias
Web,<p><b>charlas de admision para primer grado. Mi menor es Lucia.</b></p>,charlas de admision para primer grado mi menor es lucia,ADMIS_CITAS,charla admision grado menor lucia
WhatsApp,SABER SI HAY ESPACIOS EN 1ERO SECUNDARIA PARA VALENTINA. GRACIAS.,saber si hay espacios en 1ero secundaria para valentina gracias,ADMIS_VACANTES,espacio 1ero secundario valentina gracias
WhatsApp,Hola hay espacios para inicial 4 años? Mi niño se llama Maria.,hola hay espacios para inicial 4 años mi niño se llama maria,ADMIS_VACANTES,holar espacio inicial año niño llamar mario
Web,<p><b>entrevistas de admision para primer grado. Mi menor es Gabriel.</b></p>,entrevistas de admision para primer grado mi menor es gabriel,ADMIS_CITAS,entrevista admision grado menor gabriel
Web,cronograma de admision para secundaria. Mi menor es Valentina.,cronograma de admision para secundaria mi menor es valentina,ADMIS_CITAS,cronograma admision secundario menor valentín
WhatsApp,SABER SI HAY LUGARES EN PRIMER AÑO PARA THIAGO. GRACIAS.,saber si hay lugares en primer año para thiago gracias,ADMIS_VACANTES,lugar año thiago gracias
Web,charlas de admision para 6to primaria. Mi menor es Sofia.,charlas de admision para 6to primaria mi menor es sofia,ADMIS_CITAS,charla admision 6to primario menor sofia
Email,"Estimados, quisiera saber los costos de 1ero primaria para mi hijo Gabriel.",estimados quisiera saber los costos de 1ero primaria para mi hijo gabriel,ADMIS_COSTOS,estimado querer costo 1ero primario hijo gabriel
Email,"<p><b>Estimados, quisiera saber los cuotas de inicial 5 años para mi hijo Sofia.</b></p>",estimados quisiera saber los cuotas de inicial 5 años para mi hijo sofia,ADMIS_COSTOS,estimado querer cuota inicial año hijo sofia
WhatsApp,Saber si hay espacios en 5to secundaria para Juan. Gracias.,saber si hay espacios en 5to secundaria para juan gracias,ADMIS_VACANTES,espacio 5to secundario juan gracias
Email,"Estimados, quisiera saber los pensiones de 1ero primaria para mi hijo Sofia.",estimados quisiera saber los pensiones de 1ero primaria para mi hijo sofia,ADMIS_COSTOS,estimado querer pensión 1ero primario hijo sofia
WhatsApp,Hola hay lugares para inicial 5 años? Mi niño se llama Sofia.,hola hay lugares para inicial 5 años mi niño se llama sofia,ADMIS_VACANTES,holar lugar inicial año niño llamar sofia
Email,"Estimados, quisiera saber los precios de 1ero primaria para mi hijo Pedro.",estimados quisiera saber los precios de 1ero primaria para mi hijo pedro,ADMIS_COSTOS,estimado querer precio 1ero primario hijo pedro
Web,partidas para traslado a secundaria. Postulante: Elena.,partidas para traslado a secundaria postulante elena,ADMIS_REQUIS_DOC,partida traslado secundaria postulante elén
WhatsApp,<p><b>Hola hay cupos para inicial 4 años? Mi niño se llama Lucia.</b></p>,hola hay cupos para inicial 4 años mi niño se llama lucia,ADMIS_VACANTES,holar cupo inicial año niño llamar lucia
Web,<p><b>documentación para traslado a inicial 4 años. Postulante: Elena.</b></p>,documentación para traslado a inicial 4 años postulante elena,ADMIS_REQUIS_DOC,documentación traslado inicial año postulante elén
Web,requisitos para traslado a inicial 5 años. Postulante: Lucia.,requisitos para traslado a inicial 5 años postulante lucia,ADMIS_REQUIS_DOC,requisito traslado inicial año postulante lucia
Web,papeles para traslado a 1ero secundaria. Postulante: Juan.,papeles para traslado a 1ero secundaria postulante juan,ADMIS_REQUIS_DOC,papel traslado 1ero secundario postulante juan
WhatsApp,Hola hay vacantes para inicial 4 años? Mi niño se llama Juan.,hola hay vacantes para inicial 4 años mi niño se llama juan,ADMIS_VACANTES,holar vacante inicial año niño llamar juan
WhatsApp,Hola hay vacantes para 6to primaria? Mi niño se llama Lucia.,hola hay vacantes para 6to primaria mi niño se llama lucia,ADMIS_VACANTES,holar vacante 6to primaria niño llamar lucia
Email,"Estimados, quisiera saber los mensualidad de 5to secundaria para mi hijo Gabriel.",estimados quisiera saber los mensualidad de 5to secundaria para mi hijo gabriel,ADMIS_COSTOS,estimado querer mensualidad 5to secundario hijo gabriel
WhatsApp,SABER SI HAY ESPACIOS EN PRIMER GRADO PARA VALENTINA. GRACIAS.,saber si hay espacios en primer grado para valentina gracias,ADMIS_VACANTES,espacio grado valentina gracias
Email,<p><b>Solicito información de precios y detalles para inicial 3 años. Atte: Camila.</b></p>,solicito información de precios y detalles para inicial 3 años atte camila,ADMIS_COSTOS,solicitar información precio detalle inicial año attar camilar
Web,<p><b>citas de admision para secundaria. Mi menor es Gabriel.</b></p>,citas de admision para secundaria mi menor es gabriel,ADMIS_CITAS,cita admision secundario menor gabriel
Web,papeles para traslado a 1ero primaria. Postulante: Luis.,papeles para traslado a 1ero primaria postulante luis,ADMIS_REQUIS_DOC,papel traslado 1ero primaria postulante luis
Web,<p><b>cronograma de admision para 1ero secundaria. Mi menor es Juan.</b></p>,cronograma de admision para 1ero secundaria mi menor es juan,ADMIS_CITAS,cronograma admision 1ero secundario menor juan
WhatsApp,Hola hay disponibilidad de ingreso para primer año? Mi niño se llama Elena.,hola hay disponibilidad de ingreso para primer año mi niño se llama elena,ADMIS_VACANTES,holar disponibilidad ingreso año niño llamar elena
Web,citas de admision para 5to secundaria. Mi menor es Sofia.,citas de admision para 5to secundaria mi menor es sofia,ADMIS_CITAS,cita admision 5to secundario menor sofia
Email,"Estimados, quisiera saber los costos de primer año para mi hijo Sebastian.",estimados quisiera saber los costos de primer año para mi hijo sebastian,ADMIS_COSTOS,estimado querer costo año hijo sebastiar
WhatsApp,<p><b>Saber si hay vacantes en 1ero secundaria para Sebastian. Gracias.</b></p>,saber si hay vacantes en 1ero secundaria para sebastian gracias,ADMIS_VACANTES,vacante 1ero secundario sebastiar gracias
Web,charlas de admision para secundaria. Mi menor es Ana.,charlas de admision para secundaria mi menor es ana,ADMIS_CITAS,charla admision secundario menor án
Email,"Estimados, quisiera saber los cuotas de primer grado para mi hijo Camila.",estimados quisiera saber los cuotas de primer grado para mi hijo camila,ADMIS_COSTOS,estimado querer cuota grado hijo camilar
Email,"ESTIMADOS, QUISIERA SABER LOS CUOTAS DE 6TO PRIMARIA PARA MI HIJO ANA.",estimados quisiera saber los cuotas de 6to primaria para mi hijo ana,ADMIS_COSTOS,estimado querer cuota 6to primario hijo án
Web,charlas de admision para inicial 3 años. Mi menor es Lucia.,charlas de admision para inicial 3 años mi menor es lucia,ADMIS_CITAS,charla admision inicial año menor lucia
Email,"<p><b>Estimados, quisiera saber los costos de inicial 4 años para mi hijo Nicolas.</b></p>",estimados quisiera saber los costos de inicial 4 años para mi hijo nicolas,ADMIS_COSTOS,estimado querer costo inicial año hijo nicola
Email,<p><b>Solicito información de mensualidad y detalles para primer año. Atte: Ana.</b></p>,solicito información de mensualidad y detalles para primer año atte ana,ADMIS_COSTOS,solicitar información mensualidad detalle año attar án
WhatsApp,<p><b>Hola hay disponibilidad de ingreso para inicial 4 años? Mi niño se llama Maria.</b></p>,hola hay disponibilidad de ingreso para inicial 4 años mi niño se llama maria,ADMIS_VACANTES,holar disponibilidad ingreso inicial año niño llamar mario
WhatsApp,Saber si hay cupos en 1ero secundaria para Mateo. Gracias.,saber si hay cupos en 1ero secundaria para mateo gracias,ADMIS_VACANTES,cupo 1ero secundario mateo gracias
Email,SOLICITO INFORMACIÓN DE MENSUALIDAD Y DETALLES PARA PRIMER AÑO. ATTE: MARIA.,solicito información de mensualidad y detalles para primer año atte maria,ADMIS_COSTOS,solicitar información mensualidad detalle año atte mario
Web,citas de admision para 5to secundaria. Mi menor es Juan.,citas de admision para 5to secundaria mi menor es juan,ADMIS_CITAS,cita admision 5to secundario menor juan
Web,documentación para traslado a 5to secundaria. Postulante: Camila.,documentación para traslado a 5to secundaria postulante camila,ADMIS_REQUIS_DOC,documentación traslado 5to secundario postulante camilar
Email,<p><b>Solicito información de pagos y detalles para inicial 5 años. Atte: Luis.</b></p>,solicito información de pagos y detalles para inicial 5 años atte luis,ADMIS_COSTOS,solicitar información pago detalle inicial año attar luis
WhatsApp,<p><b>Saber si hay vacantes en primer año para Elena. Gracias.</b></p>,saber si hay vacantes en primer año para elena gracias,ADMIS_VACANTES,vacante año elena gracias
Web,charlas de admision para 1ero primaria. Mi menor es Mateo.,charlas de admision para 1ero primaria mi menor es mateo,ADMIS_CITAS,charla admision 1ero primario menor mateo
Web,cronograma de admision para primer grado. Mi menor es Nicolas.,cronograma de admision para primer grado mi menor es nicolas,ADMIS_CITAS,cronograma admision grado menor nicola
Web,<p><b>documentación para traslado a 1ero primaria. Postulante: Gabriel.</b></p>,documentación para traslado a 1ero primaria postulante gabriel,ADMIS_REQUIS_DOC,documentación traslado 1ero primaria postulante gabriel
Web,entrevistas de admision para 1ero secundaria. Mi menor es Mateo.,entrevistas de admision para 1ero secundaria mi menor es mateo,ADMIS_CITAS,entrevista admision 1ero secundario menor mateo
Email,<p><b>Solicito información de mensualidad y detalles para inicial 3 años. Atte: Pedro.</b></p>,solicito información de mensualidad y detalles para inicial 3 años atte pedro,ADMIS_COSTOS,solicitar información mensualidad detalle inicial año atte pedro
WhatsApp,Hola hay vacantes para 5to secundaria? Mi niño se llama Luis.,hola hay vacantes para 5to secundaria mi niño se llama luis,ADMIS_VACANTES,holar vacante 5to secundario niño llamar luis
Web,documentación para traslado a 5to secundaria. Postulante: Elena.,documentación para traslado a 5to secundaria postulante elena,ADMIS_REQUIS_DOC,documentación traslado 5to secundario postulante elén
WhatsApp,Hola hay vacantes para inicial 3 años? Mi niño se llama Thiago.,hola hay vacantes para inicial 3 años mi niño se llama thiago,ADMIS_VACANTES,holar vacante inicial año niño llamar thiago
Email,<p><b>Solicito información de precios y detalles para primer año. Atte: Thiago.</b></p>,solicito información de precios y detalles para primer año atte thiago,ADMIS_COSTOS,solicitar información precio detalle año attar thiago
Email,"ESTIMADOS, QUISIERA SABER LOS PRECIOS DE 6TO PRIMARIA PARA MI HIJO PEDRO.",estimados quisiera saber los precios de 6to primaria para mi hijo pedro,ADMIS_COSTOS,estimado querer precio 6to primario hijo pedro
Email,Solicito información de cuotas y detalles para 5to secundaria. Atte: Maria.,solicito información de cuotas y detalles para 5to secundaria atte maria,ADMIS_COSTOS,solicitar información cuota detalle 5to secundario atte mario
Email,"<p><b>Estimados, quisiera saber los precios de primer año para mi hijo Luis.</b></p>",estimados quisiera saber los precios de primer año para mi hijo luis,ADMIS_COSTOS,estimado querer precio año hijo luis
Email,"Estimados, quisiera saber los costos de inicial 5 años para mi hijo Luis.",estimados quisiera saber los costos de inicial 5 años para mi hijo luis,ADMIS_COSTOS,estimado querer costo inicial año hijo luis
Email,Solicito información de pagos y detalles para primer grado. Atte: Elena.,solicito información de pagos y detalles para primer grado atte elena,ADMIS_COSTOS,solicitar información pago detalle grado atte elén
WhatsApp,Saber si hay lugares en inicial 3 años para Pedro. Gracias.,saber si hay lugares en inicial 3 años para pedro gracias,ADMIS_VACANTES,lugar inicial año pedro gracias
Web,cronograma de admision para secundaria. Mi menor es Pedro.,cronograma de admision para secundaria mi menor es pedro,ADMIS_CITAS,cronograma admision secundario menor pedro
Email,"Estimados, quisiera saber los precios de secundaria para mi hijo Elena.",estimados quisiera saber los precios de secundaria para mi hijo elena,ADMIS_COSTOS,estimado querer precio secundaria hijo elena
Email,<p><b>Solicito información de pagos y detalles para 1ero primaria. Atte: Sofia.</b></p>,solicito información de pagos y detalles para 1ero primaria atte sofia,ADMIS_COSTOS,solicitar información pago detalle 1ero primario atte sofia
Email,"Estimados, quisiera saber los mensualidad de 1ero primaria para mi hijo Gabriel.",estimados quisiera saber los mensualidad de 1ero primaria para mi hijo gabriel,ADMIS_COSTOS,estimado querer mensualidad 1ero primario hijo gabriel
Email,"Estimados, quisiera saber los cuotas de inicial 4 años para mi hijo Pedro.",estimados quisiera saber los cuotas de inicial 4 años para mi hijo pedro,ADMIS_COSTOS,estimado querer cuota inicial año hijo pedro
Email,"ESTIMADOS, QUISIERA SABER LOS PRECIOS DE 5TO SECUNDARIA PARA MI HIJO MATEO.",estimados quisiera saber los precios de 5to secundaria para mi hijo mateo,ADMIS_COSTOS,estimado querer precio 5to secundario hijo mateo
Web,reunión de admision para inicial 3 años. Mi menor es Thiago.,reunión de admision para inicial 3 años mi menor es thiago,OTROS,reunión admision inicial año menor thiago
WhatsApp,SABER SI HAY LUGARES EN SECUNDARIA PARA VALENTINA. GRACIAS.,saber si hay lugares en secundaria para valentina gracias,ADMIS_VACANTES,lugar secundaria valentina gracias
Web,reunión de admision para 5to secundaria. Mi menor es Pedro.,reunión de admision para 5to secundaria mi menor es pedro,OTROS,reunión admision 5to secundario menor pedro
WhatsApp,SABER SI HAY ESPACIOS EN INICIAL 5 AÑOS PARA MARIA. GRACIAS.,saber si hay espacios en inicial 5 años para maria gracias,ADMIS_VACANTES,espacio inicial año maria gracias
Email,"<p><b>Estimados, quisiera saber los cuotas de 5to secundaria para mi hijo Juan.</b></p>",estimados quisiera saber los cuotas de 5to secundaria para mi hijo juan,ADMIS_COSTOS,estimado querer cuota 5to secundario hijo juan
Email,"Estimados, quisiera saber los mensualidad de 1ero primaria para mi hijo Juan.",estimados quisiera saber los mensualidad de 1ero primaria para mi hijo juan,ADMIS_COSTOS,estimado querer mensualidad 1ero primario hijo juan
WhatsApp,<p><b>Saber si hay espacios en inicial 3 años para Lucia. Gracias.</b></p>,saber si hay espacios en inicial 3 años para lucia gracias,ADMIS_VACANTES,espacio inicial año lucia gracias
Email,"Estimados, quisiera saber los precios de 5to secundaria para mi hijo Pedro.",estimados quisiera saber los precios de 5to secundaria para mi hijo pedro,ADMIS_COSTOS,estimado querer precio 5to secundario hijo pedro
WhatsApp,Hola hay lugares para primer año? Mi niño se llama Mateo.,hola hay lugares para primer año mi niño se llama mateo,ADMIS_VACANTES,holar lugar año niño llamar mateo
Web,FICHA DE MATRÍCULA PARA TRASLADO A INICIAL 3 AÑOS. POSTULANTE: JUAN.,ficha de matrícula para traslado a inicial 3 años postulante juan,ADMIS_REQUIS_DOC,ficha matrícula traslado inicial año postulante juan
Web,<p><b>documentos para traslado a 6to primaria. Postulante: Valentina.</b></p>,documentos para traslado a 6to primaria postulante valentina,ADMIS_REQUIS_DOC,documento traslado 6to primaria postulante valentín
Web,ficha de matrícula para traslado a inicial 3 años. Postulante: Camila.,ficha de matrícula para traslado a inicial 3 años postulante camila,ADMIS_REQUIS_DOC,ficha matrícula traslado inicial año postulante camilar
Email,<p><b>Solicito información de pagos y detalles para secundaria. Atte: Gabriel.</b></p>,solicito información de pagos y detalles para secundaria atte gabriel,ADMIS_COSTOS,solicitar información pago detalle secundario atte gabriel
WhatsApp,Saber si hay vacantes en inicial 3 años para Mateo. Gracias.,saber si hay vacantes en inicial 3 años para mateo gracias,ADMIS_VACANTES,vacante inicial año mateo gracias
Web,documentación para traslado a 1ero secundaria. Postulante: Juan.,documentación para traslado a 1ero secundaria postulante juan,ADMIS_REQUIS_DOC,documentación traslado 1ero secundario postulante juan
Email,SOLICITO INFORMACIÓN DE MENSUALIDAD Y DETALLES PARA 1ERO SECUNDARIA. ATTE: PEDRO.,solicito información de mensualidad y detalles para 1ero secundaria atte pedro,ADMIS_COSTOS,solicitar información mensualidad detalle 1ero secundario atte pedro
Web,ficha de matrícula para traslado a primer año. Postulante: Camila.,ficha de matrícula para traslado a primer año postulante camila,ADMIS_REQUIS_DOC,ficha matrícula traslado año postulante camilar
Web,ficha de matrícula para traslado a inicial 4 años. Postulante: Sofia.,ficha de matrícula para traslado a inicial 4 años postulante sofia,ADMIS_REQUIS_DOC,ficha matrícula traslado inicial año postulante sofia
Email,Solicito información de pagos y detalles para 6to primaria. Atte: Mateo.,solicito información de pagos y detalles para 6to primaria atte mateo,ADMIS_COSTOS,solicitar información pago detalle 6to primaria atte mateo
Email,"<p><b>Estimados, quisiera saber los precios de 1ero secundaria para mi hijo Camila.</b></p>",estimados quisiera saber los precios de 1ero secundaria para mi hijo camila,ADMIS_COSTOS,estimado querer precio 1ero secundario hijo camilar
WhatsApp,Hola hay disponibilidad de ingreso para 1ero secundaria? Mi niño se llama Camila.,hola hay disponibilidad de ingreso para 1ero secundaria mi niño se llama camila,ADMIS_VACANTES,holar disponibilidad ingreso 1ero secundario niño llamar camila
Email,SOLICITO INFORMACIÓN DE CUOTAS Y DETALLES PARA 6TO PRIMARIA. ATTE: NICOLAS.,solicito información de cuotas y detalles para 6to primaria atte nicolas,ADMIS_COSTOS,solicitar información cuota detalle 6to primaria attar nicola
Web,CHARLAS DE ADMISION PARA PRIMER AÑO. MI MENOR ES VALENTINA.,charlas de admision para primer año mi menor es valentina,ADMIS_CITAS,charla admision año menor valentín
Web,documentación para traslado a 1ero secundaria. Postulante: Lucia.,documentación para traslado a 1ero secundaria postulante lucia,ADMIS_REQUIS_DOC,documentación traslado 1ero secundario postulante lucia
Web,<p><b>reunión de admision para 1ero primaria. Mi menor es Sebastian.</b></p>,reunión de admision para 1ero primaria mi menor es sebastian,OTROS,reunión admision 1ero primario menor sebastiar
Web,<p><b>reunión de admision para secundaria. Mi menor es Juan.</b></p>,reunión de admision para secundaria mi menor es juan,OTROS,reunión admision secundario menor juan
Email,"Estimados, quisiera saber los precios de 1ero secundaria para mi hijo Elena.",estimados quisiera saber los precios de 1ero secundaria para mi hijo elena,ADMIS_COSTOS,estimado querer precio 1ero secundario hijo elena
Email,"<p><b>Estimados, quisiera saber los mensualidad de inicial 4 años para mi hijo Camila.</b></p>",estimados quisiera saber los mensualidad de inicial 4 años para mi hijo camila,ADMIS_COSTOS,estimado querer mensualidad inicial año hijo camilar
Email,"Estimados, quisiera saber los mensualidad de 1ero secundaria para mi hijo Camila.",estimados quisiera saber los mensualidad de 1ero secundaria para mi hijo camila,ADMIS_COSTOS,estimado querer mensualidad 1ero secundario hijo camilar
WhatsApp,Hola hay vacantes para primer grado? Mi niño se llama Ana.,hola hay vacantes para primer grado mi niño se llama ana,ADMIS_VACANTES,holar vacante grado niño llamar án
WhatsApp,Hola hay vacantes para 1ero secundaria? Mi niño se llama Mateo.,hola hay vacantes para 1ero secundaria mi niño se llama mateo,ADMIS_VACANTES,holar vacante 1ero secundario niño llamar mateo
WhatsApp,Saber si hay vacantes en primer grado para Lucia. Gracias.,saber si hay vacantes en primer grado para lucia gracias,ADMIS_VACANTES,vacante grado lucia gracias
Web,requisitos para traslado a 1ero primaria. Postulante: Luis.,requisitos para traslado a 1ero primaria postulante luis,ADMIS_REQUIS_DOC,requisito traslado 1ero primaria postulante luis
Web,ENTREVISTAS DE ADMISION PARA 6TO PRIMARIA. MI MENOR ES VALENTINA.,entrevistas de admision para 6to primaria mi menor es valentina,ADMIS_CITAS,entrevista admision 6to primario menor valentín
Email,"<p><b>Estimados, quisiera saber los cuotas de 1ero secundaria para mi hijo Gabriel.</b></p>",estimados quisiera saber los cuotas de 1ero secundaria para mi hijo gabriel,ADMIS_COSTOS,estimado querer cuota 1ero secundario hijo gabriel
Web,reunión de admision para 1ero secundaria. Mi menor es Sebastian.,reunión de admision para 1ero secundaria mi menor es sebastian,OTROS,reunión admision 1ero secundario menor sebastiar
Email,"Estimados, quisiera saber los cuotas de 1ero primaria para mi hijo Elena.",estimados quisiera saber los cuotas de 1ero primaria para mi hijo elena,ADMIS_COSTOS,estimado querer cuota 1ero primario hijo elena
Web,ficha de matrícula para traslado a inicial 4 años. Postulante: Sebastian.,ficha de matrícula para traslado a inicial 4 años postulante sebastian,ADMIS_REQUIS_DOC,ficha matrícula traslado inicial año postulante sebastiar
Web,cronograma de admision para inicial 4 años. Mi menor es Gabriel.,cronograma de admision para inicial 4 años mi menor es gabriel,ADMIS_CITAS,cronograma admision inicial año menor gabriel
Web,<p><b>ficha de matrícula para traslado a primer grado. Postulante: Thiago.</b></p>,ficha de matrícula para traslado a primer grado postulante thiago,ADMIS_REQUIS_DOC,ficha matrícula traslado grado postulante thiago
Email,Solicito información de cuotas y detalles para 6to primaria. Atte: Lucia.,solicito información de cuotas y detalles para 6to primaria atte lucia,ADMIS_COSTOS,solicitar información cuota detalle 6to primaria attar lucia
Email,"ESTIMADOS, QUISIERA SABER LOS CUOTAS DE INICIAL 5 AÑOS PARA MI HIJO SEBASTIAN.",estimados quisiera saber los cuotas de inicial 5 años para mi hijo sebastian,ADMIS_COSTOS,estimado querer cuota inicial año hijo sebastiar
Email,Solicito información de precios y detalles para inicial 3 años. Atte: Elena.,solicito información de precios y detalles para inicial 3 años atte elena,ADMIS_COSTOS,solicitar información precio detalle inicial año atte elena
Web,<p><b>papeles para traslado a secundaria. Postulante: Maria.</b></p>,papeles para traslado a secundaria postulante maria,ADMIS_REQUIS_DOC,papel traslado secundario postulante mario
WhatsApp,SABER SI HAY CUPOS EN INICIAL 5 AÑOS PARA MATEO. GRACIAS.,saber si hay cupos en inicial 5 años para mateo gracias,ADMIS_VACANTES,cupo inicial año mateo gracias
WhatsApp,HOLA HAY CUPOS PARA 5TO SECUNDARIA? MI NIÑO SE LLAMA VALENTINA.,hola hay cupos para 5to secundaria mi niño se llama valentina,ADMIS_VACANTES,holar cupo 5to secundario niño llamar valentina
Email,Solicito información de costos y detalles para inicial 4 años. Atte: Juan.,solicito información de costos y detalles para inicial 4 años atte juan,ADMIS_COSTOS,solicitar información costo detalle inicial año atte juan
WhatsApp,Saber si hay disponibilidad de ingreso en secundaria para Elena. Gracias.,saber si hay disponibilidad de ingreso en secundaria para elena gracias,ADMIS_VACANTES,disponibilidad ingreso secundaria elena gracias
Email,Solicito información de cuotas y detalles para secundaria. Atte: Sebastian.,solicito información de cuotas y detalles para secundaria atte sebastian,ADMIS_COSTOS,solicitar información cuota detalle secundario atte sebastiar
Web,papeles para traslado a 6to primaria. Postulante: Sofia.,papeles para traslado a 6to primaria postulante sofia,ADMIS_REQUIS_DOC,papel traslado 6to primaria postulante sofia
