fuente,contenido
WhatsApp,Hola hay disponibilidad de ingreso para inicial 4 años? Mi niño se llama Ana.
WhatsApp,<p><b>Saber si hay cupos en secundaria para Camila. Gracias.</b></p>
Email,Solicito información de cuotas y detalles para 1ero secundaria. Atte: Mateo.
Web,reunión de admision para secundaria. Mi menor es Pedro.
Email,"<p><b>Estimados, quisiera saber los pagos de inicial 3 años para mi hijo Luis.</b></p>"
Web,PARTIDAS PARA TRASLADO A PRIMER GRADO. POSTULANTE: SEBASTIAN.
Email,SOLICITO INFORMACIÓN DE COSTOS Y DETALLES PARA INICIAL 4 AÑOS. ATTE: NICOLAS.
Email,Solicito información de precios y detalles para primer grado. Atte: Ana.
Web,documentos para traslado a primer año. Postulante: Ana.
WhatsApp,Saber si hay lugares en inicial 5 años para Gabriel. Gracias.
Email,"Estimados, quisiera saber los pagos de inicial 4 años para mi hijo Maria."
WhatsApp,Hola hay cupos para inicial 3 años? Mi niño se llama Valentina.
WhatsApp,Hola hay disponibilidad de ingreso para inicial 4 años? Mi niño se llama Nicolas.
WhatsApp,Hola hay vacantes para inicial 5 años? Mi niño se llama Ana.
Web,requisitos para traslado a inicial 4 años. Postulante: Sebastian.
Email,Solicito información de mensualidad y detalles para 6to primaria. Atte: Juan.
Email,Solicito información de cuotas y detalles para secundaria. Atte: Valentina.
Web,FICHA DE MATRÍCULA PARA TRASLADO A 5TO SECUNDARIA. POSTULANTE: THIAGO.
Web,papeles para traslado a primer año. Postulante: Maria.
WhatsApp,Hola hay cupos para 1ero secundaria? Mi niño se llama Camila.
Web,citas de admision para primer grado. Mi menor es Nicolas.
Email,<p><b>Solicito información de costos y detalles para secundaria. Atte: Nicolas.</b></p>
Web,partidas para traslado a 1ero primaria. Postulante: Ana.
Email,"Estimados, quisiera saber los pagos de 1ero primaria para mi hijo Gabriel."
Email,"Estimados, quisiera saber los costos de primer año para mi hijo Luis."
Web,REUNIÓN DE ADMISION PARA INICIAL 3 AÑOS. MI MENOR ES GABRIEL.
Email,Solicito información de costos y detalles para primer grado. Atte: Maria.
Web,PAPELES PARA TRASLADO A 1ERO PRIMARIA. POSTULANTE: SOFIA.
Email,Solicito información de pagos y detalles para inicial 4 años. Atte: Sebastian.
Web,reunión de admision para secundaria. Mi menor es Sofia.
Email,Solicito información de pagos y detalles para primer año. Atte: Nicolas.
WhatsApp,Hola hay espacios para primer grado? Mi niño se llama Ana.
Email,<p><b>Solicito información de precios y detalles para inicial 4 años. Atte: Elena.</b></p>
Web,documentación para traslado a 1ero primaria. Postulante: Juan.
WhatsApp,Saber si hay espacios en primer año para Elena. Gracias.
Web,reunión de admision para 1ero primaria. Mi menor es Camila.
WhatsApp,Hola hay espacios para 1ero secundaria? Mi niño se llama Pedro.
WhatsApp,Hola hay espacios para 1ero primaria? Mi niño se llama Luis.
WhatsApp,Hola hay lugares para 1ero primaria? Mi niño se llama Ana.
Email,<p><b>Solicito información de mensualidad y detalles para 1ero primaria. Atte: Ana.</b></p>
WhatsApp,SABER SI HAY VACANTES EN INICIAL 4 AÑOS PARA JUAN. GRACIAS.
Email,"Estimados, quisiera saber los cuotas de inicial 4 años para mi hijo Valentina."
Web,partidas para traslado a primer año. Postulante: Sebastian.
WhatsApp,Saber si hay disponibilidad de ingreso en primer año para Mateo. Gracias.
Web,<p><b>citas de admision para inicial 3 años. Mi menor es Juan.</b></p>
Email,SOLICITO INFORMACIÓN DE PRECIOS Y DETALLES PARA 5TO SECUNDARIA. ATTE: GABRIEL.
WhatsApp,Hola hay cupos para primer año? Mi niño se llama Elena.
WhatsApp,<p><b>Saber si hay disponibilidad de ingreso en inicial 3 años para Camila. Gracias.</b></p>
WhatsApp,SABER SI HAY LUGARES EN 1ERO PRIMARIA PARA CAMILA. GRACIAS.
Email,Solicito información de precios y detalles para inicial 3 años. Atte: Juan.
Web,PAPELES PARA TRASLADO A PRIMER GRADO. POSTULANTE: SOFIA.
WhatsApp,<p><b>Hola hay lugares para 1ero primaria? Mi niño se llama Camila.</b></p>
Web,DOCUMENTACIÓN PARA TRASLADO A 1ERO PRIMARIA. POSTULANTE: NICOLAS.
WhatsApp,Hola hay cupos para inicial 3 años? Mi niño se llama Maria.
Email,"ESTIMADOS, QUISIERA SABER LOS MENSUALIDAD DE 1ERO PRIMARIA PARA MI HIJO MATEO."
Web,REQUISITOS PARA TRASLADO A 1ERO SECUNDARIA. POSTULANTE: JUAN.
Email,SOLICITO INFORMACIÓN DE PENSIONES Y DETALLES PARA INICIAL 4 AÑOS. ATTE: LUCIA.
Web,cronograma de admision para primer grado. Mi menor es Lucia.
WhatsApp,<p><b>Saber si hay espacios en 6to primaria para Ana. Gracias.</b></p>
Email,"<p><b>Estimados, quisiera saber los pensiones de 5to secundaria para mi hijo Luis.</b></p>"
WhatsApp,Saber si hay vacantes en inicial 3 años para Thiago. Gracias.
Web,<p><b>charlas de admision para 5to secundaria. Mi menor es Valentina.</b></p>
WhatsApp,<p><b>Saber si hay cupos en 1ero secundaria para Gabriel. Gracias.</b></p>
WhatsApp,<p><b>Hola hay espacios para 1ero secundaria? Mi niño se llama Luis.</b></p>
Web,ficha de matrícula para traslado a secundaria. Postulante: Gabriel.
Email,Solicito información de costos y detalles para inicial 3 años. Atte: Mateo.
WhatsApp,HOLA HAY DISPONIBILIDAD DE INGRESO PARA INICIAL 5 AÑOS? MI NIÑO SE LLAMA MATEO.
Email,"Estimados, quisiera saber los costos de 1ero secundaria para mi hijo Maria."
Web,documentos para traslado a 5to secundaria. Postulante: Valentina.
Email,Solicito información de mensualidad y detalles para secundaria. Atte: Mateo.
Web,citas de admision para inicial 5 años. Mi menor es Luis.
Email,Solicito información de costos y detalles para 6to primaria. Atte: Ana.
Email,Solicito información de cuotas y detalles para 1ero secundaria. Atte: Gabriel.
Email,Solicito información de pagos y detalles para inicial 3 años. Atte: Pedro.
Web,documentación para traslado a 1ero primaria. Postulante: Lucia.
Email,"Estimados, quisiera saber los pagos de 1ero primaria para mi hijo Luis."
Web,citas de admision para secundaria. Mi menor es Maria.
Web,ficha de matrícula para traslado a secundaria. Postulante: Elena.
Web,CRONOGRAMA DE ADMISION PARA PRIMER GRADO. MI MENOR ES SEBASTIAN.
WhatsApp,Hola hay lugares para 5to secundaria? Mi niño se llama Luis.
Web,documentos para traslado a inicial 4 años. Postulante: Gabriel.
Web,documentos para traslado a 5to secundaria. Postulante: Pedro.
Email,"<p><b>Estimados, quisiera saber los costos de primer grado para mi hijo Thiago.</b></p>"
Email,"Estimados, quisiera saber los pensiones de inicial 4 años para mi hijo Camila."
WhatsApp,<p><b>Hola hay espacios para inicial 5 años? Mi niño se llama Thiago.</b></p>
Web,CRONOGRAMA DE ADMISION PARA PRIMER AÑO. MI MENOR ES MARIA.
WhatsApp,Saber si hay lugares en primer año para Nicolas. Gracias.
WhatsApp,Hola hay lugares para secundaria? Mi niño se llama Elena.
Web,requisitos para traslado a secundaria. Postulante: Elena.
WhatsApp,Hola hay lugares para primer año? Mi niño se llama Luis.
WhatsApp,Saber si hay espacios en primer grado para Gabriel. Gracias.
Web,<p><b>cronograma de admision para inicial 3 años. Mi menor es Elena.</b></p>
WhatsApp,Saber si hay disponibilidad de ingreso en 5to secundaria para Pedro. Gracias.
WhatsApp,Hola hay espacios para secundaria? Mi niño se llama Nicolas.
Email,"Estimados, quisiera saber los precios de 1ero primaria para mi hijo Mateo."
Web,partidas para traslado a 6to primaria. Postulante: Gabriel.
Email,"Estimados, quisiera saber los pagos de inicial 3 años para mi hijo Juan."
Email,"Estimados, quisiera saber los mensualidad de 1ero secundaria para mi hijo Lucia."
Web,<p><b>charlas de admision para primer grado. Mi menor es Juan.</b></p>
Web,partidas para traslado a 1ero secundaria. Postulante: Gabriel.
Web,entrevistas de admision para 1ero secundaria. Mi menor es Sofia.
WhatsApp,Saber si hay vacantes en primer año para Luis. Gracias.
Web,charlas de admision para primer grado. Mi menor es Maria.
Email,"<p><b>Estimados, quisiera saber los costos de 5to secundaria para mi hijo Gabriel.</b></p>"
WhatsApp,Hola hay vacantes para inicial 4 años? Mi niño se llama Luis.
WhatsApp,Saber si hay espacios en 6to primaria para Camila. Gracias.
WhatsApp,Saber si hay lugares en 1ero primaria para Ana. Gracias.
Web,charlas de admision para primer grado. Mi menor es Elena.
Web,citas de admision para inicial 5 años. Mi menor es Thiago.
WhatsApp,<p><b>Saber si hay espacios en primer año para Nicolas. Gracias.</b></p>
WhatsApp,<p><b>Hola hay vacantes para primer año? Mi niño se llama Gabriel.</b></p>
Email,"Estimados, quisiera saber los mensualidad de inicial 3 años para mi hijo Sebastian."
Web,<p><b>documentos para traslado a 1ero primaria. Postulante: Pedro.</b></p>
Web,documentación para traslado a 6to primaria. Postulante: Sofia.
Web,<p><b>papeles para traslado a inicial 4 años. Postulante: Pedro.</b></p>
WhatsApp,SABER SI HAY ESPACIOS EN PRIMER AÑO PARA ELENA. GRACIAS.
Web,CHARLAS DE ADMISION PARA SECUNDARIA. MI MENOR ES ELENA.
Web,cronograma de admision para primer grado. Mi menor es Pedro.
Web,reunión de admision para 1ero secundaria. Mi menor es Maria.
Web,citas de admision para inicial 3 años. Mi menor es Pedro.
WhatsApp,Saber si hay vacantes en inicial 5 años para Elena. Gracias.
Email,Solicito información de cuotas y detalles para primer año. Atte: Mateo.
Web,DOCUMENTACIÓN PARA TRASLADO A PRIMER AÑO. POSTULANTE: NICOLAS.
Email,Solicito información de pensiones y detalles para primer año. Atte: Lucia.
Web,documentos para traslado a 5to secundaria. Postulante: Pedro.
Web,PARTIDAS PARA TRASLADO A INICIAL 3 AÑOS. POSTULANTE: ELENA.
WhatsApp,Saber si hay vacantes en 6to primaria para Camila. Gracias.
Email,"Estimados, quisiera saber los pagos de 1ero primaria para mi hijo Lucia."
Web,documentos para traslado a primer año. Postulante: Pedro.
Web,cronograma de admision para 1ero secundaria. Mi menor es Sebastian.
WhatsApp,SABER SI HAY CUPOS EN 6TO PRIMARIA PARA CAMILA. GRACIAS.
WhatsApp,<p><b>Saber si hay cupos en inicial 5 años para Elena. Gracias.</b></p>
Email,<p><b>Solicito información de costos y detalles para 1ero secundaria. Atte: Camila.</b></p>
WhatsApp,Hola hay lugares para primer año? Mi niño se llama Lucia.
Email,"Estimados, quisiera saber los cuotas de secundaria para mi hijo Gabriel."
WhatsApp,HOLA HAY LUGARES PARA 5TO SECUNDARIA? MI NIÑO SE LLAMA PEDRO.
Email,Solicito información de cuotas y detalles para inicial 3 años. Atte: Ana.
WhatsApp,Hola hay vacantes para inicial 4 años? Mi niño se llama Maria.
WhatsApp,Saber si hay vacantes en 1ero secundaria para Maria. Gracias.
Email,<p><b>Solicito información de pagos y detalles para primer grado. Atte: Valentina.</b></p>
WhatsApp,<p><b>Hola hay cupos para 1ero secundaria? Mi niño se llama Gabriel.</b></p>
WhatsApp,Saber si hay disponibilidad de ingreso en 1ero secundaria para Sebastian. Gracias.
Web,ficha de matrícula para traslado a 6to primaria. Postulante: Lucia.
WhatsApp,Hola hay vacantes para 1ero primaria? Mi niño se llama Valentina.
Web,reunión de admision para 6to primaria. Mi menor es Sofia.
Web,ficha de matrícula para traslado a primer grado. Postulante: Elena.
Email,<p><b>Solicito información de costos y detalles para inicial 3 años. Atte: Camila.</b></p>
WhatsApp,SABER SI HAY DISPONIBILIDAD DE INGRESO EN INICIAL 5 AÑOS PARA NICOLAS. GRACIAS.
WhatsApp,Saber si hay disponibilidad de ingreso en 1ero primaria para Mateo. Gracias.
Email,"Estimados, quisiera saber los mensualidad de primer año para mi hijo Elena."
WhatsApp,SABER SI HAY ESPACIOS EN INICIAL 5 AÑOS PARA CAMILA. GRACIAS.
Web,papeles para traslado a primer año. Postulante: Valentina.
Web,entrevistas de admision para inicial 3 años. Mi menor es Nicolas.
WhatsApp,Hola hay disponibilidad de ingreso para 5to secundaria? Mi niño se llama Camila.
Email,"ESTIMADOS, QUISIERA SABER LOS PENSIONES DE 1ERO PRIMARIA PARA MI HIJO PEDRO."
WhatsApp,Hola hay disponibilidad de ingreso para inicial 5 años? Mi niño se llama Sofia.
Email,"ESTIMADOS, QUISIERA SABER LOS MENSUALIDAD DE INICIAL 3 AÑOS PARA MI HIJO SOFIA."
Web,<p><b>ficha de matrícula para traslado a 6to primaria. Postulante: Mateo.</b></p>
WhatsApp,<p><b>Saber si hay lugares en 5to secundaria para Camila. Gracias.</b></p>
WhatsApp,HOLA HAY DISPONIBILIDAD DE INGRESO PARA INICIAL 5 AÑOS? MI NIÑO SE LLAMA VALENTINA.
WhatsApp,Hola hay lugares para inicial 4 años? Mi niño se llama Elena.
Web,CHARLAS DE ADMISION PARA PRIMER AÑO. MI MENOR ES VALENTINA.
Web,<p><b>ficha de matrícula para traslado a 6to primaria. Postulante: Ana.</b></p>
Web,documentos para traslado a 1ero primaria. Postulante: Luis.
Email,<p><b>Solicito información de pensiones y detalles para inicial 3 años. Atte: Luis.</b></p>
Web,<p><b>partidas para traslado a 6to primaria. Postulante: Sofia.</b></p>
Web,REUNIÓN DE ADMISION PARA INICIAL 3 AÑOS. MI MENOR ES LUCIA.
WhatsApp,Saber si hay cupos en inicial 3 años para Luis. Gracias.
Email,"Estimados, quisiera saber los cuotas de 6to primaria para mi hijo Lucia."
WhatsApp,Saber si hay vacantes en secundaria para Thiago. Gracias.
Web,reunión de admision para 6to primaria. Mi menor es Juan.
Web,entrevistas de admision para primer grado. Mi menor es Gabriel.
Email,Solicito información de pensiones y detalles para 1ero primaria. Atte: Thiago.
Web,documentación para traslado a 1ero secundaria. Postulante: Camila.
Email,Solicito información de pagos y detalles para inicial 4 años. Atte: Valentina.
Email,SOLICITO INFORMACIÓN DE CUOTAS Y DETALLES PARA SECUNDARIA. ATTE: SEBASTIAN.
WhatsApp,Hola hay vacantes para 6to primaria? Mi niño se llama Ana.
WhatsApp,SABER SI HAY LUGARES EN 6TO PRIMARIA PARA CAMILA. GRACIAS.
WhatsApp,Hola hay cupos para 1ero primaria? Mi niño se llama Elena.
Email,"Estimados, quisiera saber los mensualidad de primer grado para mi hijo Mateo."
Email,"Estimados, quisiera saber los pagos de inicial 5 años para mi hijo Juan."
Email,"Estimados, quisiera saber los pensiones de 6to primaria para mi hijo Luis."
WhatsApp,Saber si hay vacantes en 6to primaria para Mateo. Gracias.
WhatsApp,Hola hay espacios para 6to primaria? Mi niño se llama Valentina.
Web,entrevistas de admision para inicial 5 años. Mi menor es Ana.
Email,"Estimados, quisiera saber los precios de 1ero primaria para mi hijo Camila."
WhatsApp,Saber si hay cupos en inicial 5 años para Pedro. Gracias.
WhatsApp,SABER SI HAY VACANTES EN INICIAL 3 AÑOS PARA MATEO. GRACIAS.
WhatsApp,Hola hay cupos para 6to primaria? Mi niño se llama Pedro.
Email,"Estimados, quisiera saber los costos de inicial 3 años para mi hijo Valentina."
WhatsApp,Hola hay vacantes para 1ero primaria? Mi niño se llama Juan.
Web,requisitos para traslado a 1ero primaria. Postulante: Luis.
Email,"Estimados, quisiera saber los mensualidad de 5to secundaria para mi hijo Sofia."
Email,Solicito información de cuotas y detalles para inicial 5 años. Atte: Valentina.
Web,requisitos para traslado a 1ero secundaria. Postulante: Juan.
Web,charlas de admision para primer año. Mi menor es Ana.
Web,entrevistas de admision para inicial 4 años. Mi menor es Nicolas.
WhatsApp,SABER SI HAY DISPONIBILIDAD DE INGRESO EN 5TO SECUNDARIA PARA VALENTINA. GRACIAS.
Web,papeles para traslado a inicial 4 años. Postulante: Valentina.
Web,reunión de admision para 1ero primaria. Mi menor es Maria.
Web,papeles para traslado a 1ero secundaria. Postulante: Valentina.
Email,"Estimados, quisiera saber los precios de 6to primaria para mi hijo Gabriel."
Email,"<p><b>Estimados, quisiera saber los pagos de inicial 5 años para mi hijo Elena.</b></p>"
Email,"Estimados, quisiera saber los costos de inicial 4 años para mi hijo Lucia."
Email,Solicito información de costos y detalles para 1ero primaria. Atte: Valentina.
Web,documentación para traslado a inicial 4 años. Postulante: Thiago.
Email,SOLICITO INFORMACIÓN DE COSTOS Y DETALLES PARA PRIMER GRADO. ATTE: MATEO.
WhatsApp,Hola hay vacantes para primer grado? Mi niño se llama Sebastian.
Email,"<p><b>Estimados, quisiera saber los mensualidad de inicial 4 años para mi hijo Gabriel.</b></p>"
Web,citas de admision para 6to primaria. Mi menor es Sofia.
WhatsApp,Hola hay disponibilidad de ingreso para inicial 3 años? Mi niño se llama Thiago.
WhatsApp,<p><b>Hola hay lugares para inicial 4 años? Mi niño se llama Pedro.</b></p>
WhatsApp,Saber si hay vacantes en inicial 3 años para Pedro. Gracias.
Web,cronograma de admision para inicial 5 años. Mi menor es Mateo.
Email,"<p><b>Estimados, quisiera saber los mensualidad de inicial 3 años para mi hijo Maria.</b></p>"
WhatsApp,Hola hay disponibilidad de ingreso para 1ero secundaria? Mi niño se llama Luis.
Web,cronograma de admision para primer grado. Mi menor es Gabriel.
WhatsApp,Saber si hay cupos en 6to primaria para Camila. Gracias.
WhatsApp,Saber si hay lugares en 5to secundaria para Ana. Gracias.
WhatsApp,SABER SI HAY LUGARES EN 1ERO SECUNDARIA PARA SOFIA. GRACIAS.
Web,cronograma de admision para 1ero secundaria. Mi menor es Pedro.
WhatsApp,Saber si hay disponibilidad de ingreso en 6to primaria para Mateo. Gracias.
WhatsApp,Saber si hay espacios en primer grado para Maria. Gracias.
WhatsApp,Hola hay cupos para 1ero secundaria? Mi niño se llama Sebastian.
Email,"ESTIMADOS, QUISIERA SABER LOS COSTOS DE 6TO PRIMARIA PARA MI HIJO ANA."
Email,"Estimados, quisiera saber los costos de 5to secundaria para mi hijo Lucia."
WhatsApp,<p><b>Saber si hay cupos en secundaria para Ana. Gracias.</b></p>
WhatsApp,Saber si hay espacios en 6to primaria para Sebastian. Gracias.
Web,charlas de admision para primer año. Mi menor es Ana.
Email,"<p><b>Estimados, quisiera saber los precios de inicial 5 años para mi hijo Lucia.</b></p>"
Email,"Estimados, quisiera saber los pensiones de 5to secundaria para mi hijo Maria."
Web,ficha de matrícula para traslado a primer año. Postulante: Mateo.
Web,papeles para traslado a secundaria. Postulante: Ana.
Web,charlas de admision para primer grado. Mi menor es Lucia.
Email,"Estimados, quisiera saber los costos de 5to secundaria para mi hijo Valentina."
Web,requisitos para traslado a secundaria. Postulante: Elena.
Web,charlas de admision para 1ero primaria. Mi menor es Mateo.
Email,"Estimados, quisiera saber los cuotas de 1ero primaria para mi hijo Lucia."
WhatsApp,<p><b>Hola hay lugares para 5to secundaria? Mi niño se llama Lucia.</b></p>
Web,charlas de admision para inicial 4 años. Mi menor es Sofia.
Email,Solicito información de pensiones y detalles para primer grado. Atte: Juan.
Web,documentos para traslado a 1ero primaria. Postulante: Sofia.
Email,Solicito información de pagos y detalles para 1ero secundaria. Atte: Gabriel.
Email,"Estimados, quisiera saber los costos de inicial 4 años para mi hijo Gabriel."
WhatsApp,<p><b>Hola hay espacios para 5to secundaria? Mi niño se llama Lucia.</b></p>
Web,<p><b>charlas de admision para inicial 4 años. Mi menor es Sebastian.</b></p>
Web,REQUISITOS PARA TRASLADO A 1ERO PRIMARIA. POSTULANTE: PEDRO.
Email,"ESTIMADOS, QUISIERA SABER LOS COSTOS DE SECUNDARIA PARA MI HIJO LUCIA."
WhatsApp,Saber si hay cupos en inicial 4 años para Sebastian. Gracias.
Web,citas de admision para 1ero primaria. Mi menor es Gabriel.
Web,CITAS DE ADMISION PARA 1ERO SECUNDARIA. MI MENOR ES NICOLAS.
Web,PAPELES PARA TRASLADO A PRIMER GRADO. POSTULANTE: LUIS.
Email,"Estimados, quisiera saber los precios de 6to primaria para mi hijo Elena."
WhatsApp,Hola hay lugares para primer año? Mi niño se llama Ana.
Email,"Estimados, quisiera saber los pagos de primer grado para mi hijo Elena."
Email,"<p><b>Estimados, quisiera saber los cuotas de 1ero primaria para mi hijo Camila.</b></p>"
Web,<p><b>papeles para traslado a 1ero secundaria. Postulante: Luis.</b></p>
Email,"<p><b>Estimados, quisiera saber los mensualidad de 6to primaria para mi hijo Nicolas.</b></p>"
Web,ficha de matrícula para traslado a 5to secundaria. Postulante: Juan.
Email,"ESTIMADOS, QUISIERA SABER LOS CUOTAS DE SECUNDARIA PARA MI HIJO THIAGO."
Email,"Estimados, quisiera saber los costos de inicial 3 años para mi hijo Pedro."
Web,ficha de matrícula para traslado a 1ero secundaria. Postulante: Elena.
Web,<p><b>reunión de admision para inicial 3 años. Mi menor es Sebastian.</b></p>
WhatsApp,Hola hay vacantes para secundaria? Mi niño se llama Ana.
Email,"Estimados, quisiera saber los costos de inicial 3 años para mi hijo Mateo."
Email,"Estimados, quisiera saber los pagos de 6to primaria para mi hijo Camila."
Web,ficha de matrícula para traslado a 1ero secundaria. Postulante: Luis.
Email,"<p><b>Estimados, quisiera saber los precios de 6to primaria para mi hijo Elena.</b></p>"
Web,entrevistas de admision para 1ero primaria. Mi menor es Ana.
WhatsApp,SABER SI HAY CUPOS EN INICIAL 3 AÑOS PARA SEBASTIAN. GRACIAS.
WhatsApp,<p><b>Hola hay cupos para 1ero primaria? Mi niño se llama Pedro.</b></p>
Web,papeles para traslado a primer año. Postulante: Maria.
Email,"<p><b>Estimados, quisiera saber los pensiones de 5to secundaria para mi hijo Mateo.</b></p>"
Web,partidas para traslado a inicial 4 años. Postulante: Mateo.
WhatsApp,Hola hay vacantes para 1ero primaria? Mi niño se llama Sebastian.
WhatsApp,Hola hay cupos para 6to primaria? Mi niño se llama Thiago.
Email,Solicito información de precios y detalles para 5to secundaria. Atte: Ana.
Web,citas de admision para 1ero secundaria. Mi menor es Luis.
Email,"Estimados, quisiera saber los precios de secundaria para mi hijo Lucia."
Web,DOCUMENTOS PARA TRASLADO A 6TO PRIMARIA. POSTULANTE: LUCIA.
WhatsApp,SABER SI HAY VACANTES EN PRIMER GRADO PARA MARIA. GRACIAS.
Web,citas de admision para 5to secundaria. Mi menor es Mateo.
Web,entrevistas de admision para 6to primaria. Mi menor es Luis.
WhatsApp,Hola hay cupos para inicial 5 años? Mi niño se llama Nicolas.
Email,"Estimados, quisiera saber los pagos de 5to secundaria para mi hijo Mateo."
Web,ficha de matrícula para traslado a inicial 3 años. Postulante: Camila.
Web,DOCUMENTACIÓN PARA TRASLADO A 1ERO PRIMARIA. POSTULANTE: PEDRO.
WhatsApp,<p><b>Saber si hay cupos en inicial 3 años para Nicolas. Gracias.</b></p>
Web,documentación para traslado a primer año. Postulante: Elena.
Email,"Estimados, quisiera saber los pensiones de primer año para mi hijo Ana."
Web,charlas de admision para 6to primaria. Mi menor es Maria.
WhatsApp,SABER SI HAY LUGARES EN INICIAL 5 AÑOS PARA SOFIA. GRACIAS.
Email,"<p><b>Estimados, quisiera saber los pensiones de 1ero secundaria para mi hijo Sofia.</b></p>"
Web,citas de admision para 5to secundaria. Mi menor es Maria.
Email,"Estimados, quisiera saber los pagos de secundaria para mi hijo Mateo."
Email,<p><b>Solicito información de costos y detalles para inicial 3 años. Atte: Elena.</b></p>
WhatsApp,Saber si hay cupos en 1ero primaria para Juan. Gracias.
Web,<p><b>partidas para traslado a secundaria. Postulante: Juan.</b></p>
Web,citas de admision para primer año. Mi menor es Sebastian.
Email,SOLICITO INFORMACIÓN DE CUOTAS Y DETALLES PARA INICIAL 5 AÑOS. ATTE: NICOLAS.
Web,citas de admision para inicial 5 años. Mi menor es Elena.
Email,Solicito información de pensiones y detalles para secundaria. Atte: Elena.
Web,requisitos para traslado a primer año. Postulante: Nicolas.
Email,Solicito información de pensiones y detalles para inicial 4 años. Atte: Mateo.
WhatsApp,Saber si hay disponibilidad de ingreso en primer año para Camila. Gracias.
Email,Solicito información de pensiones y detalles para 6to primaria. Atte: Juan.
WhatsApp,Saber si hay disponibilidad de ingreso en 5to secundaria para Thiago. Gracias.
Email,Solicito información de precios y detalles para primer año. Atte: Camila.
Email,Solicito información de mensualidad y detalles para 1ero primaria. Atte: Ana.
WhatsApp,<p><b>Hola hay espacios para 6to primaria? Mi niño se llama Lucia.</b></p>
Email,Solicito información de mensualidad y detalles para inicial 3 años. Atte: Maria.
WhatsApp,Saber si hay vacantes en inicial 5 años para Pedro. Gracias.
Web,papeles para traslado a primer grado. Postulante: Sebastian.
Email,Solicito información de pensiones y detalles para 1ero secundaria. Atte: Thiago.
Web,CHARLAS DE ADMISION PARA INICIAL 5 AÑOS. MI MENOR ES ANA.
Email,"ESTIMADOS, QUISIERA SABER LOS PAGOS DE SECUNDARIA PARA MI HIJO ELENA."
Email,"<p><b>Estimados, quisiera saber los cuotas de 1ero secundaria para mi hijo Ana.</b></p>"
Email,Solicito información de pensiones y detalles para inicial 5 años. Atte: Maria.
Email,"<p><b>Estimados, quisiera saber los costos de 6to primaria para mi hijo Valentina.</b></p>"
Email,"Estimados, quisiera saber los pensiones de 5to secundaria para mi hijo Maria."
WhatsApp,HOLA HAY LUGARES PARA INICIAL 4 AÑOS? MI NIÑO SE LLAMA PEDRO.
Web,CITAS DE ADMISION PARA 6TO PRIMARIA. MI MENOR ES MATEO.
Web,<p><b>reunión de admision para inicial 4 años. Mi menor es Sebastian.</b></p>
Email,Solicito información de mensualidad y detalles para secundaria. Atte: Ana.
Email,"ESTIMADOS, QUISIERA SABER LOS PENSIONES DE INICIAL 5 AÑOS PARA MI HIJO JUAN."
Email,"Estimados, quisiera saber los pensiones de primer grado para mi hijo Thiago."
WhatsApp,Saber si hay vacantes en inicial 5 años para Sebastian. Gracias.
Web,<p><b>documentación para traslado a primer grado. Postulante: Gabriel.</b></p>
WhatsApp,Hola hay cupos para inicial 3 años? Mi niño se llama Sofia.
Email,"Estimados, quisiera saber los costos de inicial 4 años para mi hijo Nicolas."
Email,SOLICITO INFORMACIÓN DE MENSUALIDAD Y DETALLES PARA PRIMER GRADO. ATTE: JUAN.
Email,"Estimados, quisiera saber los mensualidad de 6to primaria para mi hijo Gabriel."
Email,"<p><b>Estimados, quisiera saber los pensiones de 1ero primaria para mi hijo Lucia.</b></p>"
WhatsApp,Saber si hay espacios en 5to secundaria para Elena. Gracias.
WhatsApp,Hola hay vacantes para 5to secundaria? Mi niño se llama Luis.
Email,"Estimados, quisiera saber los costos de primer año para mi hijo Ana."
Web,ficha de matrícula para traslado a primer grado. Postulante: Valentina.
Web,ficha de matrícula para traslado a 1ero secundaria. Postulante: Gabriel.
WhatsApp,Hola hay lugares para 1ero primaria? Mi niño se llama Camila.
Email,"ESTIMADOS, QUISIERA SABER LOS MENSUALIDAD DE 6TO PRIMARIA PARA MI HIJO GABRIEL."
Email,"Estimados, quisiera saber los pagos de primer grado para mi hijo Maria."
Web,PAPELES PARA TRASLADO A INICIAL 4 AÑOS. POSTULANTE: SEBASTIAN.
Email,"Estimados, quisiera saber los cuotas de inicial 3 años para mi hijo Sebastian."
Web,<p><b>documentación para traslado a inicial 5 años. Postulante: Sofia.</b></p>
Email,"ESTIMADOS, QUISIERA SABER LOS PRECIOS DE PRIMER GRADO PARA MI HIJO JUAN."
Web,charlas de admision para inicial 5 años. Mi menor es Pedro.
Email,"ESTIMADOS, QUISIERA SABER LOS PRECIOS DE INICIAL 4 AÑOS PARA MI HIJO LUCIA."
Email,"Estimados, quisiera saber los mensualidad de 6to primaria para mi hijo Elena."
Email,"Estimados, quisiera saber los pensiones de 5to secundaria para mi hijo Camila."
WhatsApp,<p><b>Saber si hay disponibilidad de ingreso en 6to primaria para Valentina. Gracias.</b></p>
Web,requisitos para traslado a inicial 4 años. Postulante: Sebastian.
Web,cronograma de admision para primer grado. Mi menor es Juan.
Web,<p><b>partidas para traslado a 1ero secundaria. Postulante: Thiago.</b></p>
Web,documentos para traslado a secundaria. Postulante: Sofia.
Web,requisitos para traslado a 6to primaria. Postulante: Gabriel.
Web,<p><b>reunión de admision para 6to primaria. Mi menor es Thiago.</b></p>
