fuente,contenido,texto_limpio,label_sugerida
WhatsApp,Hola hay vacantes para 1ero secundaria? Mi niño se llama Nicolas.,hola hay vacantes para 1ero secundaria mi niño se llama nicolas,ADMIS_VACANTES
Web,Requisitos para traslado a 1ero secundaria. Postulante: Camila.,requisitos para traslado a 1ero secundaria postulante camila,ADMIS_REQUIS_DOC
WhatsApp,Saber si hay cupos en 6to primaria para Nicolas. Gracias.,saber si hay cupos en 6to primaria para nicolas gracias,ADMIS_VACANTES
WhatsApp,Hola hay vacantes para inicial 4 años? Mi niño se llama Thiago.,hola hay vacantes para inicial 4 años mi niño se llama thiago,ADMIS_VACANTES
Email,"Estimados, quisiera saber los precios de inicial 5 años para mi hijo Mateo.",estimados quisiera saber los precios de inicial 5 años para mi hijo mateo,ADMIS_COSTOS
Web,Requisitos para traslado a inicial 5 años. Postulante: Gabriel.,requisitos para traslado a inicial 5 años postulante gabriel,ADMIS_REQUIS_DOC
WhatsApp,Saber si hay cupos en inicial 4 años para Thiago. Gracias.,saber si hay cupos en inicial 4 años para thiago gracias,ADMIS_VACANTES
WhatsApp,Hola hay vacantes para 1ero primaria? Mi niño se llama Elena.,hola hay vacantes para 1ero primaria mi niño se llama elena,ADMIS_VACANTES
WhatsApp,Hola hay vacantes para inicial 4 años? Mi niño se llama Lucia.,hola hay vacantes para inicial 4 años mi niño se llama lucia,ADMIS_VACANTES
Email,"Estimados, quisiera saber los precios de inicial 3 años para mi hijo Gabriel.",estimados quisiera saber los precios de inicial 3 años para mi hijo gabriel,ADMIS_COSTOS
WhatsApp,<p><b>Saber si hay cupos en inicial 4 años para Sofia. Gracias.</b></p>,saber si hay cupos en inicial 4 años para sofia gracias,ADMIS_VACANTES
WhatsApp,Saber si hay cupos en 1ero secundaria para Valentina. Gracias.,saber si hay cupos en 1ero secundaria para valentina gracias,ADMIS_VACANTES
WhatsApp,SABER SI HAY CUPOS EN INICIAL 5 AÑOS PARA SOFIA. GRACIAS.,saber si hay cupos en inicial 5 años para sofia gracias,ADMIS_VACANTES
WhatsApp,Hola hay vacantes para inicial 5 años? Mi niño se llama Camila.,hola hay vacantes para inicial 5 años mi niño se llama camila,ADMIS_VACANTES
Web,REQUISITOS PARA TRASLADO A INICIAL 3 AÑOS. POSTULANTE: CAMILA.,requisitos para traslado a inicial 3 años postulante camila,ADMIS_REQUIS_DOC
Email,"Estimados, quisiera saber los precios de inicial 5 años para mi hijo Gabriel.",estimados quisiera saber los precios de inicial 5 años para mi hijo gabriel,ADMIS_COSTOS
Email,"Estimados, quisiera saber los precios de 1ero primaria para mi hijo Thiago.",estimados quisiera saber los precios de 1ero primaria para mi hijo thiago,ADMIS_COSTOS
WhatsApp,<p><b>Saber si hay cupos en 1ero primaria para Valentina. Gracias.</b></p>,saber si hay cupos en 1ero primaria para valentina gracias,ADMIS_VACANTES
WhatsApp,Saber si hay cupos en 6to primaria para Camila. Gracias.,saber si hay cupos en 6to primaria para camila gracias,ADMIS_VACANTES
Email,"Estimados, quisiera saber los precios de inicial 5 años para mi hijo Nicolas.",estimados quisiera saber los precios de inicial 5 años para mi hijo nicolas,ADMIS_COSTOS
WhatsApp,Hola hay vacantes para inicial 5 años? Mi niño se llama Mateo.,hola hay vacantes para inicial 5 años mi niño se llama mateo,ADMIS_VACANTES
Web,Requisitos para traslado a 6to primaria. Postulante: Sofia.,requisitos para traslado a 6to primaria postulante sofia,ADMIS_REQUIS_DOC
WhatsApp,HOLA HAY VACANTES PARA 6TO PRIMARIA? MI NIÑO SE LLAMA CAMILA.,hola hay vacantes para 6to primaria mi niño se llama camila,ADMIS_VACANTES
WhatsApp,Saber si hay cupos en inicial 3 años para Nicolas. Gracias.,saber si hay cupos en inicial 3 años para nicolas gracias,ADMIS_VACANTES
Web,Requisitos para traslado a inicial 3 años. Postulante: Elena.,requisitos para traslado a inicial 3 años postulante elena,ADMIS_REQUIS_DOC
WhatsApp,Saber si hay cupos en inicial 4 años para Camila. Gracias.,saber si hay cupos en inicial 4 años para camila gracias,ADMIS_VACANTES
Web,Requisitos para traslado a inicial 5 años. Postulante: Thiago.,requisitos para traslado a inicial 5 años postulante thiago,ADMIS_REQUIS_DOC
Web,Requisitos para traslado a 6to primaria. Postulante: Lucia.,requisitos para traslado a 6to primaria postulante lucia,ADMIS_REQUIS_DOC
Email,"Estimados, quisiera saber los precios de inicial 4 años para mi hijo Thiago.",estimados quisiera saber los precios de inicial 4 años para mi hijo thiago,ADMIS_COSTOS
Web,REQUISITOS PARA TRASLADO A 1ERO SECUNDARIA. POSTULANTE: GABRIEL.,requisitos para traslado a 1ero secundaria postulante gabriel,ADMIS_REQUIS_DOC
Web,Requisitos para traslado a inicial 4 años. Postulante: Thiago.,requisitos para traslado a inicial 4 años postulante thiago,ADMIS_REQUIS_DOC
WhatsApp,HOLA HAY VACANTES PARA 6TO PRIMARIA? MI NIÑO SE LLAMA SEBASTIAN.,hola hay vacantes para 6to primaria mi niño se llama sebastian,ADMIS_VACANTES
Email,"Estimados, quisiera saber los precios de inicial 3 años para mi hijo Sebastian.",estimados quisiera saber los precios de inicial 3 años para mi hijo sebastian,ADMIS_COSTOS
WhatsApp,Hola hay vacantes para 1ero primaria? Mi niño se llama Mateo.,hola hay vacantes para 1ero primaria mi niño se llama mateo,ADMIS_VACANTES
Web,<p><b>Requisitos para traslado a 1ero primaria. Postulante: Nicolas.</b></p>,requisitos para traslado a 1ero primaria postulante nicolas,ADMIS_REQUIS_DOC
Web,Requisitos para traslado a 1ero secundaria. Postulante: Elena.,requisitos para traslado a 1ero secundaria postulante elena,ADMIS_REQUIS_DOC
Email,"Estimados, quisiera saber los precios de 6to primaria para mi hijo Mateo.",estimados quisiera saber los precios de 6to primaria para mi hijo mateo,ADMIS_COSTOS
WhatsApp,Saber si hay cupos en 5to secundaria para Lucia. Gracias.,saber si hay cupos en 5to secundaria para lucia gracias,ADMIS_VACANTES
Email,"Estimados, quisiera saber los precios de 1ero primaria para mi hijo Lucia.",estimados quisiera saber los precios de 1ero primaria para mi hijo lucia,ADMIS_COSTOS
Email,"<p><b>Estimados, quisiera saber los precios de 5to secundaria para mi hijo Thiago.</b></p>",estimados quisiera saber los precios de 5to secundaria para mi hijo thiago,ADMIS_COSTOS
Web,<p><b>Requisitos para traslado a inicial 3 años. Postulante: Thiago.</b></p>,requisitos para traslado a inicial 3 años postulante thiago,ADMIS_REQUIS_DOC
WhatsApp,Saber si hay cupos en inicial 3 años para Sofia. Gracias.,saber si hay cupos en inicial 3 años para sofia gracias,ADMIS_VACANTES
WhatsApp,Hola hay vacantes para 1ero primaria? Mi niño se llama Valentina.,hola hay vacantes para 1ero primaria mi niño se llama valentina,ADMIS_VACANTES
WhatsApp,HOLA HAY VACANTES PARA INICIAL 4 AÑOS? MI NIÑO SE LLAMA CAMILA.,hola hay vacantes para inicial 4 años mi niño se llama camila,ADMIS_VACANTES
WhatsApp,<p><b>Hola hay vacantes para inicial 3 años? Mi niño se llama Sofia.</b></p>,hola hay vacantes para inicial 3 años mi niño se llama sofia,ADMIS_VACANTES
WhatsApp,SABER SI HAY CUPOS EN 1ERO SECUNDARIA PARA LUCIA. GRACIAS.,saber si hay cupos en 1ero secundaria para lucia gracias,ADMIS_VACANTES
WhatsApp,<p><b>Saber si hay cupos en 1ero primaria para Gabriel. Gracias.</b></p>,saber si hay cupos en 1ero primaria para gabriel gracias,ADMIS_VACANTES
Email,"Estimados, quisiera saber los precios de 1ero secundaria para mi hijo Sebastian.",estimados quisiera saber los precios de 1ero secundaria para mi hijo sebastian,ADMIS_COSTOS
Email,"<p><b>Estimados, quisiera saber los precios de inicial 3 años para mi hijo Thiago.</b></p>",estimados quisiera saber los precios de inicial 3 años para mi hijo thiago,ADMIS_COSTOS
Web,Requisitos para traslado a 5to secundaria. Postulante: Nicolas.,requisitos para traslado a 5to secundaria postulante nicolas,ADMIS_REQUIS_DOC
Web,REQUISITOS PARA TRASLADO A 1ERO SECUNDARIA. POSTULANTE: SEBASTIAN.,requisitos para traslado a 1ero secundaria postulante sebastian,ADMIS_REQUIS_DOC
WhatsApp,<p><b>Hola hay vacantes para 6to primaria? Mi niño se llama Sofia.</b></p>,hola hay vacantes para 6to primaria mi niño se llama sofia,ADMIS_VACANTES
Email,"Estimados, quisiera saber los precios de 6to primaria para mi hijo Lucia.",estimados quisiera saber los precios de 6to primaria para mi hijo lucia,ADMIS_COSTOS
Email,"Estimados, quisiera saber los precios de 5to secundaria para mi hijo Nicolas.",estimados quisiera saber los precios de 5to secundaria para mi hijo nicolas,ADMIS_COSTOS
WhatsApp,Hola hay vacantes para inicial 5 años? Mi niño se llama Elena.,hola hay vacantes para inicial 5 años mi niño se llama elena,ADMIS_VACANTES
WhatsApp,Hola hay vacantes para inicial 3 años? Mi niño se llama Mateo.,hola hay vacantes para inicial 3 años mi niño se llama mateo,ADMIS_VACANTES
WhatsApp,Saber si hay cupos en 6to primaria para Elena. Gracias.,saber si hay cupos en 6to primaria para elena gracias,ADMIS_VACANTES
WhatsApp,Hola hay vacantes para inicial 3 años? Mi niño se llama Valentina.,hola hay vacantes para inicial 3 años mi niño se llama valentina,ADMIS_VACANTES
Web,Requisitos para traslado a inicial 5 años. Postulante: Camila.,requisitos para traslado a inicial 5 años postulante camila,ADMIS_REQUIS_DOC
WhatsApp,SABER SI HAY CUPOS EN 1ERO PRIMARIA PARA NICOLAS. GRACIAS.,saber si hay cupos en 1ero primaria para nicolas gracias,ADMIS_VACANTES
Web,<p><b>Requisitos para traslado a 6to primaria. Postulante: Nicolas.</b></p>,requisitos para traslado a 6to primaria postulante nicolas,ADMIS_REQUIS_DOC
WhatsApp,Saber si hay cupos en inicial 3 años para Lucia. Gracias.,saber si hay cupos en inicial 3 años para lucia gracias,ADMIS_VACANTES
Email,"Estimados, quisiera saber los precios de 6to primaria para mi hijo Elena.",estimados quisiera saber los precios de 6to primaria para mi hijo elena,ADMIS_COSTOS
Web,Requisitos para traslado a inicial 5 años. Postulante: Lucia.,requisitos para traslado a inicial 5 años postulante lucia,ADMIS_REQUIS_DOC
WhatsApp,Hola hay vacantes para 6to primaria? Mi niño se llama Mateo.,hola hay vacantes para 6to primaria mi niño se llama mateo,ADMIS_VACANTES
WhatsApp,<p><b>Hola hay vacantes para 1ero secundaria? Mi niño se llama Camila.</b></p>,hola hay vacantes para 1ero secundaria mi niño se llama camila,ADMIS_VACANTES
WhatsApp,Saber si hay cupos en inicial 3 años para Elena. Gracias.,saber si hay cupos en inicial 3 años para elena gracias,ADMIS_VACANTES
WhatsApp,<p><b>Hola hay vacantes para 5to secundaria? Mi niño se llama Gabriel.</b></p>,hola hay vacantes para 5to secundaria mi niño se llama gabriel,ADMIS_VACANTES
WhatsApp,Hola hay vacantes para 1ero secundaria? Mi niño se llama Sebastian.,hola hay vacantes para 1ero secundaria mi niño se llama sebastian,ADMIS_VACANTES
Web,Requisitos para traslado a inicial 5 años. Postulante: Nicolas.,requisitos para traslado a inicial 5 años postulante nicolas,ADMIS_REQUIS_DOC
WhatsApp,Hola hay vacantes para 1ero secundaria? Mi niño se llama Thiago.,hola hay vacantes para 1ero secundaria mi niño se llama thiago,ADMIS_VACANTES
WhatsApp,Saber si hay cupos en inicial 5 años para Thiago. Gracias.,saber si hay cupos en inicial 5 años para thiago gracias,ADMIS_VACANTES
Email,"<p><b>Estimados, quisiera saber los precios de inicial 4 años para mi hijo Lucia.</b></p>",estimados quisiera saber los precios de inicial 4 años para mi hijo lucia,ADMIS_COSTOS
Email,"Estimados, quisiera saber los precios de inicial 5 años para mi hijo Elena.",estimados quisiera saber los precios de inicial 5 años para mi hijo elena,ADMIS_COSTOS
WhatsApp,Hola hay vacantes para 1ero secundaria? Mi niño se llama Elena.,hola hay vacantes para 1ero secundaria mi niño se llama elena,ADMIS_VACANTES
Email,"ESTIMADOS, QUISIERA SABER LOS PRECIOS DE INICIAL 5 AÑOS PARA MI HIJO THIAGO.",estimados quisiera saber los precios de inicial 5 años para mi hijo thiago,ADMIS_COSTOS
WhatsApp,Hola hay vacantes para 6to primaria? Mi niño se llama Valentina.,hola hay vacantes para 6to primaria mi niño se llama valentina,ADMIS_VACANTES
Web,<p><b>Requisitos para traslado a 5to secundaria. Postulante: Thiago.</b></p>,requisitos para traslado a 5to secundaria postulante thiago,ADMIS_REQUIS_DOC
Email,"<p><b>Estimados, quisiera saber los precios de 6to primaria para mi hijo Valentina.</b></p>",estimados quisiera saber los precios de 6to primaria para mi hijo valentina,ADMIS_COSTOS
WhatsApp,<p><b>Saber si hay cupos en inicial 5 años para Sebastian. Gracias.</b></p>,saber si hay cupos en inicial 5 años para sebastian gracias,ADMIS_VACANTES
Email,"Estimados, quisiera saber los precios de 6to primaria para mi hijo Camila.",estimados quisiera saber los precios de 6to primaria para mi hijo camila,ADMIS_COSTOS
Email,"ESTIMADOS, QUISIERA SABER LOS PRECIOS DE 1ERO SECUNDARIA PARA MI HIJO SOFIA.",estimados quisiera saber los precios de 1ero secundaria para mi hijo sofia,ADMIS_COSTOS
WhatsApp,Hola hay vacantes para 5to secundaria? Mi niño se llama Sofia.,hola hay vacantes para 5to secundaria mi niño se llama sofia,ADMIS_VACANTES
WhatsApp,HOLA HAY VACANTES PARA INICIAL 4 AÑOS? MI NIÑO SE LLAMA NICOLAS.,hola hay vacantes para inicial 4 años mi niño se llama nicolas,ADMIS_VACANTES
WhatsApp,Hola hay vacantes para inicial 5 años? Mi niño se llama Valentina.,hola hay vacantes para inicial 5 años mi niño se llama valentina,ADMIS_VACANTES
Web,Requisitos para traslado a 5to secundaria. Postulante: Sebastian.,requisitos para traslado a 5to secundaria postulante sebastian,ADMIS_REQUIS_DOC
Web,Requisitos para traslado a 5to secundaria. Postulante: Elena.,requisitos para traslado a 5to secundaria postulante elena,ADMIS_REQUIS_DOC
WhatsApp,SABER SI HAY CUPOS EN INICIAL 3 AÑOS PARA GABRIEL. GRACIAS.,saber si hay cupos en inicial 3 años para gabriel gracias,ADMIS_VACANTES
Web,<p><b>Requisitos para traslado a 6to primaria. Postulante: Sebastian.</b></p>,requisitos para traslado a 6to primaria postulante sebastian,ADMIS_REQUIS_DOC
Web,Requisitos para traslado a inicial 3 años. Postulante: Lucia.,requisitos para traslado a inicial 3 años postulante lucia,ADMIS_REQUIS_DOC
Email,"Estimados, quisiera saber los precios de 1ero secundaria para mi hijo Lucia.",estimados quisiera saber los precios de 1ero secundaria para mi hijo lucia,ADMIS_COSTOS
WhatsApp,Saber si hay cupos en inicial 4 años para Nicolas. Gracias.,saber si hay cupos en inicial 4 años para nicolas gracias,ADMIS_VACANTES
Web,Requisitos para traslado a 1ero secundaria. Postulante: Lucia.,requisitos para traslado a 1ero secundaria postulante lucia,ADMIS_REQUIS_DOC
WhatsApp,Saber si hay cupos en 1ero secundaria para Sebastian. Gracias.,saber si hay cupos en 1ero secundaria para sebastian gracias,ADMIS_VACANTES
Email,"<p><b>Estimados, quisiera saber los precios de inicial 5 años para mi hijo Sofia.</b></p>",estimados quisiera saber los precios de inicial 5 años para mi hijo sofia,ADMIS_COSTOS
Web,REQUISITOS PARA TRASLADO A 1ERO SECUNDARIA. POSTULANTE: MATEO.,requisitos para traslado a 1ero secundaria postulante mateo,ADMIS_REQUIS_DOC
Web,Requisitos para traslado a inicial 4 años. Postulante: Elena.,requisitos para traslado a inicial 4 años postulante elena,ADMIS_REQUIS_DOC
WhatsApp,HOLA HAY VACANTES PARA INICIAL 5 AÑOS? MI NIÑO SE LLAMA SEBASTIAN.,hola hay vacantes para inicial 5 años mi niño se llama sebastian,ADMIS_VACANTES
Web,<p><b>Requisitos para traslado a 6to primaria. Postulante: Thiago.</b></p>,requisitos para traslado a 6to primaria postulante thiago,ADMIS_REQUIS_DOC
Email,"Estimados, quisiera saber los precios de 5to secundaria para mi hijo Lucia.",estimados quisiera saber los precios de 5to secundaria para mi hijo lucia,ADMIS_COSTOS
WhatsApp,Saber si hay cupos en 1ero primaria para Sebastian. Gracias.,saber si hay cupos en 1ero primaria para sebastian gracias,ADMIS_VACANTES
WhatsApp,Hola hay vacantes para inicial 3 años? Mi niño se llama Sebastian.,hola hay vacantes para inicial 3 años mi niño se llama sebastian,ADMIS_VACANTES
Email,"ESTIMADOS, QUISIERA SABER LOS PRECIOS DE 1ERO PRIMARIA PARA MI HIJO SEBASTIAN.",estimados quisiera saber los precios de 1ero primaria para mi hijo sebastian,ADMIS_COSTOS
Web,Requisitos para traslado a 1ero primaria. Postulante: Elena.,requisitos para traslado a 1ero primaria postulante elena,ADMIS_REQUIS_DOC
Email,"Estimados, quisiera saber los precios de inicial 4 años para mi hijo Sofia.",estimados quisiera saber los precios de inicial 4 años para mi hijo sofia,ADMIS_COSTOS
WhatsApp,SABER SI HAY CUPOS EN 5TO SECUNDARIA PARA MATEO. GRACIAS.,saber si hay cupos en 5to secundaria para mateo gracias,ADMIS_VACANTES
Web,Requisitos para traslado a 5to secundaria. Postulante: Sofia.,requisitos para traslado a 5to secundaria postulante sofia,ADMIS_REQUIS_DOC
WhatsApp,Hola hay vacantes para inicial 3 años? Mi niño se llama Elena.,hola hay vacantes para inicial 3 años mi niño se llama elena,ADMIS_VACANTES
WhatsApp,Hola hay vacantes para 5to secundaria? Mi niño se llama Nicolas.,hola hay vacantes para 5to secundaria mi niño se llama nicolas,ADMIS_VACANTES
Web,Requisitos para traslado a 1ero primaria. Postulante: Gabriel.,requisitos para traslado a 1ero primaria postulante gabriel,ADMIS_REQUIS_DOC
WhatsApp,Hola hay vacantes para 1ero primaria? Mi niño se llama Camila.,hola hay vacantes para 1ero primaria mi niño se llama camila,ADMIS_VACANTES
WhatsApp,Saber si hay cupos en inicial 3 años para Camila. Gracias.,saber si hay cupos en inicial 3 años para camila gracias,ADMIS_VACANTES
Email,"Estimados, quisiera saber los precios de inicial 3 años para mi hijo Mateo.",estimados quisiera saber los precios de inicial 3 años para mi hijo mateo,ADMIS_COSTOS
WhatsApp,Saber si hay cupos en 5to secundaria para Valentina. Gracias.,saber si hay cupos en 5to secundaria para valentina gracias,ADMIS_VACANTES
Web,Requisitos para traslado a 1ero primaria. Postulante: Thiago.,requisitos para traslado a 1ero primaria postulante thiago,ADMIS_REQUIS_DOC
Email,"ESTIMADOS, QUISIERA SABER LOS PRECIOS DE 5TO SECUNDARIA PARA MI HIJO MATEO.",estimados quisiera saber los precios de 5to secundaria para mi hijo mateo,ADMIS_COSTOS
Web,Requisitos para traslado a 6to primaria. Postulante: Gabriel.,requisitos para traslado a 6to primaria postulante gabriel,ADMIS_REQUIS_DOC
